CODE,POL222H1-F-20229-LEC-0101,POL222H1-F-20229-LEC-0201,POL222H1-F-20229-LEC-5101
CAP,165,165,165
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,0,1,0
1657560897,0,1,0
1657592482,0,1,0
1657598158,0,1,0
1657657520,8,8,2
1657659549,8,8,2
1657678570,8,8,2
1657700365,8,8,2
1657734871,9,8,2
1657736010,9,8,2
1657737663,9,8,2
1657744779,9,8,2
1657780708,9,8,2
1657815709,10,8,2
1657827433,10,8,2
1657841414,10,8,2
1657851506,10,8,2
1657853745,10,8,2
1657868013,10,8,2
1657911016,65,46,13
1657914736,65,46,13
1657938194,65,46,13
1657991875,67,45,14
1658011950,67,45,14
1658085371,66,45,14
1658086263,66,45,14
1658101142,66,45,14
1658101460,66,45,14
1658117879,66,45,14
1658120793,66,45,14
1658149259,67,46,14
1658163599,67,46,14
1658192570,67,46,14
1658255570,166,159,61
1658255771,166,159,61
1658265950,166,159,61
1658282790,166,159,61
1658284116,166,159,61
1658341001,167,161,62
1658425295,167,163,61
1658438086,167,163,61
1658446145,167,163,61
1658446771,167,163,61
1658459993,167,163,61
1658514122,169,165,65
1658536177,169,165,65
1658552496,169,165,65
1658614184,168,166,65
1658631640,168,166,65
1658698072,168,166,67
1658768579,169,164,68
1658788810,169,164,68
1658856123,167,165,69
1658878855,167,165,69
1658879061,167,165,69
1658965224,167,164,71
1659041771,167,163,72
1659049567,167,163,72
1659055044,167,163,72
1659106101,167,163,72
1659116089,167,163,72
1659126296,167,163,72
1659137072,167,163,72
1659154611,167,163,72
1659160554,167,163,72
1659197509,177,175,119
1659228141,177,175,119
1659229848,177,175,119
1659252431,177,175,119
1659298084,179,175,122
