CODE,JGA305H1-F-20229-LEC-0101,JGA305H1-F-20229-LEC-2001
CAP,50,6
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,1
1657560897,0,1
1657592482,0,1
1657598158,0,1
1657657520,10,1
1657659549,10,1
1657678570,10,1
1657700365,10,1
1657734871,10,1
1657736010,10,1
1657737663,10,1
1657744779,10,1
1657780708,10,1
1657815709,11,4
1657827433,11,4
1657841414,11,4
1657851506,11,4
1657853745,11,4
1657868013,11,4
1657911016,15,5
1657914736,15,5
1657938194,15,5
1657991875,15,5
1658011950,15,5
1658085371,15,5
1658086263,15,5
1658101142,15,5
1658101460,15,5
1658117879,15,5
1658120793,15,5
1658149259,14,5
1658163599,14,5
1658192570,14,5
1658255570,16,5
1658255771,16,5
1658265950,16,5
1658282790,16,5
1658284116,16,5
1658341001,16,5
1658425295,16,5
1658438086,16,5
1658446145,16,5
1658446771,16,5
1658459993,16,5
1658514122,16,5
1658536177,16,5
1658552496,16,5
1658614184,16,5
1658631640,16,5
1658698072,16,5
1658768579,16,5
1658788810,16,5
1658856123,16,5
1658878855,16,5
1658879061,16,5
1658965224,16,5
1659041771,16,5
1659049567,16,5
1659055044,16,5
