CODE,BIO271H1-S-20229-LEC-0101
CAP,188
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,22
1657659562,22
1657678580,22
1657700377,22
1657734892,22
1657736031,22
1657737680,22
1657744796,22
1657780717,22
1657815723,24
1657827444,24
1657841424,24
1657851524,24
1657853756,24
1657868023,24
1657911025,87
1657914749,87
1657938204,87
1657991885,87
1658011963,87
1658085387,87
1658086283,87
1658101152,87
1658101473,87
1658117893,87
1658120808,87
1658149282,87
1658163609,87
1658192584,87
1658255580,193
1658255781,193
1658265969,193
1658282799,193
1658284132,193
1658341011,194
1658425310,195
1658438101,195
1658446157,195
1658446785,195
1658460004,195
1658514131,198
1658536189,198
1658552506,198
1658614194,196
1658631652,196
1658698082,196
1658768591,197
1658788819,197
1658856132,198
1658878866,198
1658879072,198
1658965232,200
1659041782,200
1659049575,200
1659055055,200
1659106110,198
1659116097,198
1659126308,198
1659137081,198
1659154622,198
1659160562,198
1659197518,191
1659228149,191
1659229856,191
1659252439,191
1659298092,191
