CODE,ENG480H1-S-20229-LEC-0101,ENG480H1-S-20229-LEC-0201,ENG480H1-S-20229-LEC-0301,ENG480H1-S-20229-LEC-0401,ENG480H1-S-20229-LEC-5101
CAP,18,18,18,18,-1
1656647697,0,0,0,0,-2
1656655667,0,0,0,0,-2
1656693731,0,0,0,0,-2
1656799552,0,0,0,0,-2
1657039041,0,0,0,0,-2
1657124791,0,0,0,0,-2
1657129909,0,0,0,0,-2
1657154834,0,0,0,0,-2
1657154935,0,0,0,0,-2
1657157146,0,0,0,0,-2
1657169433,0,0,0,0,-2
1657171616,0,0,0,0,-2
1657208573,0,0,0,0,-2
1657224158,0,0,0,0,-2
1657394896,0,0,0,0,-2
1657522648,0,0,0,0,-2
1657560905,0,0,0,0,-2
1657592491,0,0,0,0,-2
1657598166,0,0,0,0,-2
1657657537,16,7,14,22,-2
1657659562,16,7,14,22,-2
1657678580,16,7,14,22,-2
1657700377,16,7,14,22,-2
1657734892,17,7,14,22,-2
1657736031,17,7,14,22,-2
1657737680,17,7,14,22,-2
1657744796,17,7,14,22,-2
1657780717,17,7,14,22,-2
1657815723,17,7,14,22,-2
1657827444,17,7,14,22,-2
1657841424,17,7,14,22,-2
1657851524,17,7,14,22,-2
1657853756,17,7,14,22,-2
1657868023,17,7,14,22,-2
1657911025,18,7,14,22,-2
1657914749,18,7,14,22,-2
1657938204,18,7,14,22,-2
1657991885,18,7,14,22,-2
1658011963,18,7,14,22,-2
1658085387,18,7,14,22,-2
1658086283,18,7,14,22,-2
1658101152,18,7,14,22,-2
1658101473,18,7,14,22,-2
1658117893,18,7,14,22,-2
1658120808,18,7,14,22,-2
1658149282,18,7,14,22,-2
1658163609,18,7,14,22,-2
1658192584,18,7,14,22,-2
1658255580,18,7,14,22,-2
1658255781,18,7,14,22,-2
1658265969,18,7,14,22,-2
1658282799,18,7,14,22,-2
1658284132,18,7,14,22,-2
1658341011,18,7,14,22,-2
1658425310,18,7,14,22,-2
1658438101,18,7,14,22,-2
1658446157,18,7,14,22,-2
1658446785,18,7,14,22,-2
1658460004,18,7,14,22,-2
1658514131,18,7,14,22,-2
1658536189,18,7,14,22,-2
1658552506,18,7,14,22,-2
1658614194,18,7,14,22,-2
1658631652,18,7,14,22,-2
1658698082,18,7,14,22,-2
1658768591,18,7,14,22,-2
1658788819,18,7,14,22,-2
1658856132,18,7,15,22,-2
1658878866,18,7,15,22,-2
1658879072,18,7,15,22,-2
1658965232,18,8,15,22,-2
1659041782,18,8,15,21,-2
1659049575,18,8,15,21,-2
1659055055,18,8,15,21,-2
