CODE,ECO220Y1-Y-20229-LEC-0101,ECO220Y1-Y-20229-LEC-0201,ECO220Y1-Y-20229-LEC-0301,ECO220Y1-Y-20229-LEC-0401,ECO220Y1-Y-20229-LEC-0501,ECO220Y1-Y-20229-LEC-5101
CAP,188,188,194,194,188,188
1656647691,0,0,0,0,0,0
1656655658,0,0,0,0,0,0
1656693725,0,0,0,0,0,0
1656799545,0,0,0,0,0,0
1657039032,0,0,0,0,0,0
1657124785,0,0,0,0,0,0
1657129902,0,0,0,0,0,0
1657154828,0,0,0,0,0,0
1657154929,0,0,0,0,0,0
1657157139,0,0,0,0,0,0
1657169427,0,0,0,0,0,0
1657171607,0,0,0,0,0,0
1657208567,0,0,0,0,0,0
1657224152,0,0,0,0,0,0
1657394890,0,0,0,0,0,0
1657522642,0,0,0,0,0,0
1657560899,0,0,0,0,0,0
1657592485,0,0,0,0,0,0
1657598160,0,0,0,0,0,0
1657657525,2,2,2,4,4,1
1657659552,2,2,2,4,4,1
1657678573,2,2,2,4,4,1
1657700368,2,2,2,4,4,1
1657734875,2,2,3,4,4,1
1657736016,2,2,3,4,4,1
1657737668,2,2,3,4,4,1
1657744785,2,2,3,4,4,1
1657780710,2,2,3,4,4,1
1657815712,2,2,3,4,5,1
1657827436,2,2,3,4,5,1
1657841417,2,2,3,4,5,1
1657851515,2,2,3,4,5,1
1657853748,2,2,3,4,5,1
1657868016,2,2,3,4,5,1
1657911019,17,21,16,30,16,14
1657914739,17,21,16,30,16,14
1657938197,17,21,16,30,16,14
1657991877,17,21,16,31,16,14
1658011954,17,21,16,31,16,14
1658085375,19,21,16,31,16,14
1658086268,19,21,16,31,16,14
1658101144,19,21,16,31,16,14
1658101464,19,21,16,31,16,14
1658117882,19,21,16,31,16,14
1658120797,19,21,16,31,16,14
1658149266,20,21,16,31,16,13
1658163601,20,21,16,31,16,13
1658192573,20,21,16,31,16,13
1658255573,144,177,118,163,97,49
1658255774,144,177,118,163,97,49
1658265957,144,177,118,163,97,49
1658282792,144,177,118,163,97,49
1658284123,144,177,118,163,97,49
1658341004,144,178,119,164,98,49
1658425299,143,178,120,163,101,49
1658438090,143,178,120,163,101,49
1658446148,143,178,120,163,101,49
1658446775,143,178,120,163,101,49
1658459996,143,178,120,163,101,49
1658514124,142,180,119,164,101,48
1658536180,142,180,119,164,101,48
1658552499,142,180,119,164,101,48
1658614187,141,181,119,165,101,48
1658631643,141,181,119,165,101,48
1658698075,141,183,119,164,99,49
1658768582,141,185,117,164,99,49
1658788813,141,185,117,164,99,49
1658856126,141,187,116,164,99,50
1658878858,141,187,116,164,99,50
1658879064,141,187,116,164,99,50
1658965226,142,187,116,165,100,50
1659041774,143,187,116,166,99,50
1659049569,143,187,116,166,99,50
1659055046,143,187,116,166,99,50
1659106104,143,187,116,166,99,50
1659116092,143,187,116,166,99,50
1659126300,143,187,116,166,99,50
1659137075,143,187,116,166,99,50
1659154614,143,187,116,166,99,50
1659160556,143,187,116,166,99,50
1659197512,189,198,171,199,144,70
1659228143,189,198,171,199,144,70
1659229850,189,198,171,199,144,70
1659252433,189,198,171,199,144,70
1659298086,189,199,174,199,146,70
