CODE,SLA320Y1-Y-20229-LEC-0101
CAP,18
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,3
1657659552,3
1657678573,3
1657700368,3
1657734875,3
1657736016,3
1657737668,3
1657744785,3
1657780710,3
1657815712,3
1657827436,3
1657841417,3
1657851515,3
1657853748,3
1657868016,3
1657911019,6
1657914739,6
1657938197,6
1657991877,6
1658011954,6
1658085375,6
1658086268,6
1658101144,6
1658101464,6
1658117882,6
1658120797,6
1658149266,6
1658163601,6
1658192573,6
1658255573,7
1658255774,7
1658265957,7
1658282792,7
1658284123,7
1658341004,7
1658425299,7
1658438090,7
1658446148,7
1658446775,7
1658459996,7
1658514124,7
1658536180,7
1658552499,7
1658614187,7
1658631643,7
1658698075,6
1658768582,6
1658788813,6
1658856126,6
1658878858,6
1658879064,6
1658965226,6
1659041774,6
1659049569,6
1659055046,6
