CODE,JPH441H1-F-20229-LEC-5101
CAP,80
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,17
1657659549,17
1657678570,17
1657700365,17
1657734871,17
1657736010,17
1657737663,17
1657744779,17
1657780708,17
1657815709,17
1657827433,17
1657841414,17
1657851506,17
1657853745,17
1657868013,17
1657911016,31
1657914736,31
1657938194,31
1657991875,31
1658011950,31
1658085371,32
1658086263,32
1658101142,32
1658101460,32
1658117879,32
1658120793,32
1658149259,32
1658163599,32
1658192570,32
1658255570,38
1658255771,38
1658265950,38
1658282790,38
1658284116,38
1658341001,38
1658425295,36
1658438086,36
1658446145,36
1658446771,36
1658459993,36
1658514122,36
1658536177,36
1658552496,36
1658614184,36
1658631640,36
1658698072,36
1658768579,36
1658788810,36
1658856123,37
1658878855,37
1658879061,37
1658965224,38
1659041771,38
1659049567,38
1659055044,38
1659106101,38
1659116089,38
1659126296,38
1659137072,38
1659154611,38
1659160554,38
1659197509,41
1659228141,41
1659229848,41
1659252431,41
1659298084,41
