CODE,PHY131H1-F-20229-LEC-0101,PHY131H1-F-20229-LEC-5101
CAP,800,100
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,0
1657560897,1,0
1657592482,1,0
1657598158,1,0
1657657520,10,49
1657659549,10,49
1657678570,10,49
1657700365,10,49
1657734871,9,50
1657736010,9,50
1657737663,9,50
1657744779,9,50
1657780708,9,50
1657815709,10,51
1657827433,10,51
1657841414,10,51
1657851506,10,51
1657853745,10,51
1657868013,10,51
1657911016,18,90
1657914736,18,90
1657938194,18,90
1657991875,17,92
1658011950,17,92
1658085371,18,94
1658086263,18,94
1658101142,18,94
1658101460,18,94
1658117879,18,94
1658120793,18,94
1658149259,17,96
1658163599,17,96
1658192570,17,96
1658255570,136,153
1658255771,136,153
1658265950,136,153
1658282790,136,153
1658284116,136,153
1658341001,138,155
1658425295,136,159
1658438086,136,159
1658446145,136,159
1658446771,136,159
1658459993,136,159
1658514122,644,174
