CODE,SPA220Y1-Y-20229-LEC-0101,SPA220Y1-Y-20229-LEC-0201,SPA220Y1-Y-20229-LEC-5101,SPA220Y1-Y-20229-LEC-5201
CAP,50,50,50,50
1656647691,0,0,0,0
1656655658,0,0,0,0
1656693725,0,0,0,0
1656799545,0,0,0,0
1657039032,0,0,0,0
1657124785,0,0,0,0
1657129902,0,0,0,0
1657154828,0,0,0,0
1657154929,0,0,0,0
1657157139,0,0,0,0
1657169427,0,0,0,0
1657171607,0,0,0,0
1657208567,0,0,0,0
1657224152,0,0,0,0
1657394890,0,0,0,0
1657522642,3,0,0,1
1657560899,3,0,0,1
1657592485,3,0,0,1
1657598160,3,0,0,1
1657657525,5,0,6,5
1657659552,5,0,6,5
1657678573,5,0,6,5
1657700368,5,0,6,5
1657734875,5,0,6,5
1657736016,5,0,6,5
1657737668,5,0,6,5
1657744785,5,0,6,5
1657780710,5,0,6,5
1657815712,4,0,5,5
1657827436,4,0,5,5
1657841417,4,0,5,5
1657851515,4,0,5,5
1657853748,4,0,5,5
1657868016,4,0,5,5
1657911019,8,4,8,8
1657914739,8,4,8,8
1657938197,8,4,8,8
1657991877,8,4,8,9
1658011954,8,4,8,9
1658085375,8,4,8,9
1658086268,8,4,8,9
1658101144,8,4,8,9
1658101464,8,4,8,9
1658117882,8,4,8,9
1658120797,8,4,8,9
1658149266,8,4,9,9
1658163601,8,4,9,9
1658192573,8,4,9,9
1658255573,18,12,20,29
1658255774,18,12,20,29
1658265957,18,12,20,29
1658282792,18,12,20,29
1658284123,18,12,20,29
1658341004,18,12,20,28
1658425299,18,12,20,28
1658438090,18,12,20,28
1658446148,18,12,20,28
1658446775,18,12,20,28
1658459996,18,12,20,28
1658514124,21,17,31,33
1658536180,21,17,31,33
1658552499,21,17,31,33
1658614187,21,18,30,34
1658631643,21,18,30,34
1658698075,22,18,31,34
1658768582,21,18,31,36
1658788813,21,18,31,36
1658856126,21,18,31,36
1658878858,21,18,31,36
1658879064,21,18,31,36
1658965226,21,18,31,36
1659041774,21,18,30,35
1659049569,21,18,30,35
1659055046,21,18,30,35
