CODE,VIC001Y1-Y-20229-LEC-0101
CAP,300
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,208
1657560899,208
1657592485,208
1657598160,208
1657657525,207
1657659552,207
1657678573,207
1657700368,207
1657734875,207
1657736016,207
1657737668,207
1657744785,207
1657780710,207
1657815712,203
1657827436,203
1657841417,203
1657851515,203
1657853748,203
1657868016,203
1657911019,204
1657914739,204
1657938197,204
1657991877,203
1658011954,203
1658085375,203
1658086268,203
1658101144,203
1658101464,203
1658117882,203
1658120797,203
1658149266,203
1658163601,203
1658192573,203
1658255573,200
1658255774,200
1658265957,200
1658282792,200
1658284123,200
1658341004,200
1658425299,203
1658438090,203
1658446148,203
1658446775,203
1658459996,203
1658514124,198
1658536180,198
1658552499,198
1658614187,199
1658631643,199
1658698075,199
1658768582,199
1658788813,199
1658856126,198
1658878858,198
1658879064,198
1658965226,199
1659041774,199
1659049569,199
1659055046,199
1659106104,200
1659116092,200
1659126300,200
1659137075,200
1659154614,200
1659160556,200
1659197512,204
1659228143,204
1659229850,204
1659252433,204
1659298086,204
