CODE,PHL200Y1-Y-20229-LEC-0101
CAP,200
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,1
1657560899,1
1657592485,1
1657598160,1
1657657525,12
1657659552,12
1657678573,12
1657700368,12
1657734875,14
1657736016,14
1657737668,14
1657744785,14
1657780710,14
1657815712,14
1657827436,14
1657841417,14
1657851515,14
1657853748,14
1657868016,14
1657911019,55
1657914739,55
1657938197,55
1657991877,55
1658011954,55
1658085375,55
1658086268,55
1658101144,55
1658101464,55
1658117882,55
1658120797,55
1658149266,56
1658163601,56
1658192573,56
1658255573,157
1658255774,157
1658265957,157
1658282792,157
1658284123,157
1658341004,165
1658425299,167
1658438090,167
1658446148,167
1658446775,167
1658459996,167
1658514124,200
1658536180,200
1658552499,200
1658614187,204
1658631643,204
1658698075,207
1658768582,208
1658788813,208
1658856126,210
1658878858,210
1658879064,210
1658965226,210
1659041774,211
1659049569,211
1659055046,211
1659106104,211
1659116092,211
1659126300,211
1659137075,211
1659154614,211
1659160556,211
1659197512,213
1659228143,213
1659229850,213
1659252433,213
1659298086,213
