CODE,DTS200Y1-Y-20229-LEC-0101,DTS200Y1-Y-20229-LEC-0102
CAP,100,100
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,1,0
1657560899,1,0
1657592485,1,0
1657598160,1,0
1657657525,7,0
1657659552,7,0
1657678573,7,0
1657700368,7,0
1657734875,7,0
1657736016,7,0
1657737668,7,0
1657744785,7,0
1657780710,7,0
1657815712,6,0
1657827436,6,0
1657841417,6,0
1657851515,6,0
1657853748,6,0
1657868016,6,0
1657911019,9,3
1657914739,9,3
1657938197,9,3
1657991877,9,3
1658011954,9,3
1658085375,9,3
1658086268,9,3
1658101144,9,3
1658101464,9,3
1658117882,9,3
1658120797,9,3
1658149266,10,3
1658163601,10,-2
1658192573,10,-2
1658255573,45,-2
1658255774,45,-2
1658265957,45,-2
1658282792,45,-2
1658284123,45,-2
1658341004,45,-2
1658425299,45,-2
1658438090,45,-2
1658446148,45,-2
1658446775,45,-2
1658459996,45,-2
1658514124,55,-2
