CODE,SPA320Y1-Y-20229-LEC-0101,SPA320Y1-Y-20229-LEC-0201,SPA320Y1-Y-20229-LEC-5101
CAP,40,40,40
1656647691,0,0,0
1656655658,0,0,0
1656693725,0,0,0
1656799545,0,0,0
1657039032,0,0,0
1657124785,0,0,0
1657129902,0,0,0
1657154828,0,0,0
1657154929,0,0,0
1657157139,0,0,0
1657169427,0,0,0
1657171607,0,0,0
1657208567,0,0,0
1657224152,0,0,0
1657394890,0,0,0
1657522642,0,0,1
1657560899,0,0,1
1657592485,0,0,1
1657598160,0,0,1
1657657525,7,1,7
1657659552,7,1,7
1657678573,7,1,7
1657700368,7,1,7
1657734875,7,1,7
1657736016,7,1,7
1657737668,7,1,7
1657744785,7,1,7
1657780710,7,1,7
1657815712,7,1,7
1657827436,7,1,7
1657841417,7,1,7
1657851515,7,1,7
1657853748,7,1,7
1657868016,7,1,7
1657911019,22,6,17
1657914739,22,6,17
1657938197,22,6,17
1657991877,22,6,17
1658011954,22,6,17
1658085375,22,6,17
1658086268,22,6,17
1658101144,22,6,17
1658101464,22,6,17
1658117882,22,6,17
1658120797,22,6,17
1658149266,22,6,17
1658163601,22,6,17
1658192573,22,6,17
1658255573,27,8,23
1658255774,27,8,23
1658265957,27,8,23
1658282792,27,8,23
1658284123,27,8,23
1658341004,29,8,23
1658425299,29,8,23
1658438090,29,8,23
1658446148,29,8,23
1658446775,29,8,23
1658459996,29,8,23
1658514124,30,9,25
1658536180,30,9,25
1658552499,30,9,25
1658614187,30,9,25
1658631643,30,9,25
1658698075,30,9,25
1658768582,30,9,25
1658788813,30,9,25
1658856126,30,9,25
1658878858,30,9,25
1658879064,30,9,25
