CODE,ECO101H1-F-20229-LEC-0101,ECO101H1-F-20229-LEC-0201,ECO101H1-F-20229-LEC-0301,ECO101H1-F-20229-LEC-0401,ECO101H1-F-20229-LEC-0501,ECO101H1-F-20229-LEC-2501,ECO101H1-F-20229-LEC-5101
CAP,468,468,468,468,468,65,403
1656647689,0,0,0,0,0,0,0
1656655656,0,0,0,0,0,0,0
1656693722,0,0,0,0,0,0,0
1656799543,0,0,0,0,0,0,0
1657039029,0,0,0,0,0,0,0
1657124783,0,0,0,0,0,0,0
1657129900,0,0,0,0,0,0,0
1657154826,0,0,0,0,0,0,0
1657154927,0,0,0,0,0,0,0
1657157137,0,0,0,0,0,0,0
1657169424,0,0,0,0,0,0,0
1657171604,0,0,0,0,0,0,0
1657208564,0,0,0,0,0,0,0
1657224150,0,0,0,0,0,0,0
1657394888,0,0,0,0,0,0,0
1657522639,0,0,0,0,0,0,0
1657560897,0,0,0,0,0,0,0
1657592482,0,0,0,0,0,0,0
1657598158,0,0,0,0,0,0,0
1657657520,0,0,0,0,0,0,0
1657659549,0,0,0,0,0,0,0
1657678570,0,0,0,0,0,0,0
1657700365,0,0,0,0,0,0,0
1657734871,0,0,0,0,0,0,0
1657736010,0,0,0,0,0,0,0
1657737663,0,0,0,0,0,0,0
1657744779,0,0,0,0,0,0,0
1657780708,0,0,0,0,0,0,0
1657815709,0,0,0,0,0,32,0
1657827433,0,0,0,0,0,32,0
1657841414,0,0,0,0,0,32,0
1657851506,0,0,0,0,0,32,0
1657853745,0,0,0,0,0,32,0
1657868013,0,0,0,0,0,32,0
1657911016,0,0,1,0,0,32,1
1657914736,0,0,1,0,0,32,1
1657938194,0,0,1,0,0,32,1
1657991875,0,0,1,0,0,33,1
1658011950,0,0,1,0,0,33,1
1658085371,0,0,1,0,0,33,1
1658086263,0,0,1,0,0,33,1
1658101142,0,0,1,0,0,33,1
1658101460,0,0,1,0,0,33,1
1658117879,0,0,1,0,0,33,1
1658120793,0,0,1,0,0,33,1
1658149259,0,0,1,0,0,32,1
1658163599,0,0,1,0,0,32,1
1658192570,0,0,1,0,0,32,1
1658255570,0,38,2,2,0,32,4
1658255771,0,38,2,2,0,32,4
1658265950,0,38,2,2,0,32,4
1658282790,0,38,2,2,0,32,4
1658284116,0,38,2,2,0,32,4
1658341001,0,33,3,2,0,32,4
1658425295,0,34,2,4,0,32,4
1658438086,0,34,2,4,0,32,4
1658446145,0,34,2,4,0,32,4
1658446771,0,34,2,4,0,32,4
1658459993,0,34,2,4,0,32,4
1658514122,502,477,397,497,372,32,459
1658536177,502,477,397,497,372,32,459
1658552496,502,477,397,497,372,32,459
1658614184,501,478,404,495,376,34,458
1658631640,501,478,404,495,376,34,458
1658698072,502,477,416,493,376,34,458
1658768579,502,477,426,492,377,34,458
1658788810,502,477,426,492,377,34,458
1658856123,502,475,428,495,380,34,458
1658878855,502,475,428,495,380,34,458
1658879061,502,475,428,495,380,34,458
1658965224,502,475,431,495,382,34,457
1659041771,501,473,434,494,384,34,458
1659049567,501,473,434,494,384,34,458
1659055044,501,473,434,494,384,34,458
1659106101,501,473,433,494,384,34,458
1659116089,501,473,433,494,384,34,458
1659126296,501,473,433,494,384,34,458
1659137072,501,473,433,494,384,34,458
1659154611,501,473,433,494,384,34,458
1659160554,501,473,433,494,384,34,458
1659197509,500,505,500,526,388,34,492
1659228141,500,505,500,526,388,34,492
1659229848,500,505,500,526,388,34,492
1659252431,500,505,500,526,388,34,492
1659298084,499,511,504,527,390,34,491
