CODE,ITA100Y1-Y-20229-LEC-0101,ITA100Y1-Y-20229-LEC-0201,ITA100Y1-Y-20229-LEC-0301,ITA100Y1-Y-20229-LEC-0401,ITA100Y1-Y-20229-LEC-0501,ITA100Y1-Y-20229-LEC-0601,ITA100Y1-Y-20229-LEC-5101,ITA100Y1-Y-20229-LEC-5201,ITA100Y1-Y-20229-LEC-5301,ITA100Y1-Y-20229-LEC-5401
CAP,30,30,30,30,30,30,30,30,30,30
1656647691,0,0,0,0,0,0,0,0,0,0
1656655658,0,0,0,0,0,0,0,0,0,0
1656693725,0,0,0,0,0,0,0,0,0,0
1656799545,0,0,0,0,0,0,0,0,0,0
1657039032,0,0,0,0,0,0,0,0,0,0
1657124785,0,0,0,0,0,0,0,0,0,0
1657129902,0,0,0,0,0,0,0,0,0,0
1657154828,0,0,0,0,0,0,0,0,0,0
1657154929,0,0,0,0,0,0,0,0,0,0
1657157139,0,0,0,0,0,0,0,0,0,0
1657169427,0,0,0,0,0,0,0,0,0,0
1657171607,0,0,0,0,0,0,0,0,0,0
1657208567,0,0,0,0,0,0,0,0,0,0
1657224152,0,0,0,0,0,0,0,0,0,0
1657394890,0,0,0,0,0,0,0,0,0,0
1657522642,0,0,0,0,0,0,0,0,0,0
1657560899,0,0,0,0,0,0,0,0,0,0
1657592485,0,0,0,0,0,0,0,0,0,0
1657598160,0,0,0,0,0,0,0,0,0,0
1657657525,3,1,1,0,1,1,7,6,1,2
1657659552,3,1,1,0,1,1,7,6,1,2
1657678573,3,1,1,0,1,1,7,6,1,2
1657700368,3,1,1,0,1,1,7,6,1,2
1657734875,3,1,1,0,1,1,8,6,1,2
1657736016,3,1,1,0,1,1,8,6,1,2
1657737668,3,1,1,0,1,1,8,6,1,2
1657744785,3,1,1,0,1,1,8,6,1,2
1657780710,3,1,1,0,1,1,8,6,1,2
1657815712,3,1,1,0,1,1,8,7,1,2
1657827436,3,1,1,0,1,1,8,7,1,2
1657841417,3,1,1,0,1,1,8,7,1,2
1657851515,3,1,1,0,1,1,8,7,1,2
1657853748,3,1,1,0,1,1,8,7,1,2
1657868016,3,1,1,0,1,1,8,7,1,2
1657911019,5,2,2,0,1,2,13,13,1,4
1657914739,5,2,2,0,1,2,13,13,1,4
1657938197,5,2,2,0,1,2,13,13,1,4
1657991877,5,2,2,0,1,2,14,13,1,4
1658011954,5,2,2,0,1,2,14,13,1,4
1658085375,5,2,2,0,1,2,14,13,1,4
1658086268,5,2,2,0,1,2,14,13,1,4
1658101144,5,2,2,0,1,2,14,13,1,4
1658101464,5,2,2,0,1,2,14,13,1,4
1658117882,5,2,2,0,1,2,14,13,1,4
1658120797,5,2,2,0,1,2,14,13,1,4
1658149266,5,2,2,0,1,2,14,13,1,4
1658163601,5,2,2,0,1,2,14,13,1,4
1658192573,5,2,2,0,1,2,14,13,1,4
1658255573,12,4,3,1,1,4,33,17,2,4
1658255774,12,4,3,1,1,4,33,17,2,4
1658265957,12,4,3,1,1,4,33,17,2,4
1658282792,12,4,3,1,1,4,33,17,2,4
1658284123,12,4,3,1,1,4,33,17,2,4
1658341004,12,4,3,1,1,4,34,17,2,4
1658425299,12,4,3,1,1,4,34,17,2,4
1658438090,12,4,3,1,1,4,34,17,2,4
1658446148,12,4,3,1,1,4,34,17,2,4
1658446775,12,4,3,1,1,4,34,17,2,4
1658459996,12,4,3,1,1,4,34,17,2,4
1658514124,29,9,8,7,4,9,39,30,6,13
