CODE,APM236H1-F-20229-LEC-0101,APM236H1-F-20229-LEC-5101
CAP,150,130
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,1
1657560897,1,1
1657592482,1,1
1657598158,1,1
1657657520,13,25
1657659549,13,25
1657678570,13,25
1657700365,13,25
1657734871,14,26
1657736010,14,26
1657737663,14,26
1657744779,14,26
1657780708,14,26
1657815709,16,26
1657827433,16,26
1657841414,16,26
1657851506,16,26
1657853745,16,26
1657868013,16,26
1657911016,33,51
1657914736,33,51
1657938194,33,51
1657991875,33,51
1658011950,33,51
1658085371,34,51
1658086263,34,51
1658101142,34,51
1658101460,34,51
1658117879,34,51
1658120793,34,51
1658149259,34,50
1658163599,34,50
1658192570,34,50
1658255570,71,88
1658255771,71,88
1658265950,71,88
1658282790,71,88
1658284116,71,88
1658341001,72,88
1658425295,71,89
1658438086,71,89
1658446145,71,89
1658446771,71,89
1658459993,71,89
1658514122,80,90
1658536177,80,90
1658552496,80,90
1658614184,81,91
1658631640,81,91
1658698072,82,91
1658768579,81,92
1658788810,81,92
1658856123,81,92
1658878855,81,92
1658879061,81,92
1658965224,82,92
1659041771,82,92
1659049567,82,92
1659055044,82,92
1659106101,79,91
1659116089,79,91
1659126296,79,91
1659137072,79,91
1659154611,79,91
1659160554,79,91
1659197509,79,101
1659228141,79,101
1659229848,79,101
1659252431,79,101
1659298084,79,101
