CODE,ENT200H1-S-20229-LEC-0101
CAP,350
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,52
1657659562,52
1657678580,52
1657700377,52
1657734892,55
1657736031,55
1657737680,55
1657744796,55
1657780717,55
1657815723,56
1657827444,56
1657841424,56
1657851524,56
1657853756,56
1657868023,56
1657911025,96
1657914749,96
1657938204,96
1657991885,96
1658011963,96
1658085387,97
1658086283,97
1658101152,97
1658101473,97
1658117893,97
1658120808,97
1658149282,100
1658163609,100
1658192584,100
1658255580,177
1658255781,177
1658265969,177
1658282799,177
1658284132,177
1658341011,180
1658425310,180
1658438101,180
1658446157,180
1658446785,180
1658460004,180
1658514131,188
