CODE,GER100Y1-Y-20229-LEC-0101,GER100Y1-Y-20229-LEC-0201,GER100Y1-Y-20229-LEC-0301,GER100Y1-Y-20229-LEC-0401,GER100Y1-Y-20229-LEC-0501,GER100Y1-Y-20229-LEC-0601,GER100Y1-Y-20229-LEC-5101,GER100Y1-Y-20229-LEC-5201
CAP,30,30,30,30,30,30,30,30
1656647691,0,0,0,0,0,0,0,0
1656655658,0,0,0,0,0,0,0,0
1656693725,0,0,0,0,0,0,0,0
1656799545,0,0,0,0,0,0,0,0
1657039032,0,0,0,0,0,0,0,0
1657124785,0,0,0,0,0,0,0,0
1657129902,0,0,0,0,0,0,0,0
1657154828,0,0,0,0,0,0,0,0
1657154929,0,0,0,0,0,0,0,0
1657157139,0,0,0,0,0,0,0,0
1657169427,0,0,0,0,0,0,0,0
1657171607,0,0,0,0,0,0,0,0
1657208567,0,0,0,0,0,0,0,0
1657224152,0,0,0,0,0,0,0,0
1657394890,0,0,0,0,0,0,0,0
1657522642,0,0,0,0,0,0,0,0
1657560899,0,0,0,0,0,0,0,0
1657592485,0,0,0,0,0,0,0,0
1657598160,0,0,0,0,0,0,0,0
1657657525,0,0,0,0,0,0,0,0
1657659552,0,0,0,0,0,0,0,0
1657678573,0,0,0,0,0,0,0,0
1657700368,0,0,0,0,0,0,0,0
1657734875,0,0,0,0,0,0,0,0
1657736016,0,0,0,0,0,0,0,0
1657737668,0,0,0,0,0,0,0,0
1657744785,0,0,0,0,0,0,0,0
1657780710,0,0,0,0,0,0,0,0
1657815712,0,0,0,0,0,0,0,0
1657827436,0,0,0,0,0,0,0,0
1657841417,0,0,0,0,0,0,0,0
1657851515,0,0,0,0,0,0,0,0
1657853748,0,0,0,0,0,0,0,0
1657868016,0,0,0,0,0,0,0,0
1657911019,0,0,0,0,0,0,0,0
1657914739,0,0,0,0,0,0,0,0
1657938197,0,0,0,0,0,0,0,0
1657991877,0,0,0,0,0,0,0,0
1658011954,0,0,0,0,0,0,0,0
1658085375,0,0,0,0,0,0,0,0
1658086268,0,0,0,0,0,0,0,0
1658101144,0,0,0,0,0,0,0,0
1658101464,0,0,0,0,0,0,0,0
1658117882,0,0,0,0,0,0,0,0
1658120797,0,0,0,0,0,0,0,0
1658149266,0,0,0,0,0,0,0,0
1658163601,0,0,0,0,0,0,0,0
1658192573,0,0,0,0,0,0,0,0
1658255573,1,1,1,0,1,0,0,1
1658255774,1,1,1,0,1,0,0,1
1658265957,1,1,1,0,1,0,0,1
1658282792,1,1,1,0,1,0,0,1
1658284123,1,1,1,0,1,0,0,1
1658341004,1,1,2,0,1,0,0,1
1658425299,1,1,2,0,1,0,0,1
1658438090,1,1,2,0,1,0,0,1
1658446148,1,1,2,0,1,0,0,1
1658446775,1,1,2,0,1,0,0,1
1658459996,1,1,2,0,1,0,0,1
1658514124,6,10,9,26,9,3,17,10
1658536180,6,10,9,26,9,3,17,10
1658552499,6,10,9,26,9,3,17,10
1658614187,5,11,10,26,9,3,17,10
1658631643,5,11,10,26,9,3,17,10
1658698075,5,11,10,27,9,3,17,10
1658768582,5,11,11,27,9,3,17,12
1658788813,5,11,11,27,9,3,17,12
1658856126,4,10,11,27,9,3,18,12
1658878858,4,10,11,27,9,3,18,12
1658879064,4,10,11,27,9,3,18,12
1658965226,4,10,11,27,9,3,18,13
1659041774,4,10,11,26,9,4,18,13
1659049569,4,10,11,26,9,4,18,13
1659055046,4,10,11,26,9,4,18,13
1659106104,5,10,11,26,8,4,18,13
1659116092,5,10,11,26,8,4,18,13
1659126300,5,10,11,26,8,4,18,13
1659137075,5,10,11,26,8,4,18,13
1659154614,5,10,11,26,8,4,18,13
1659160556,5,10,11,26,8,4,18,13
1659197512,14,10,16,32,13,6,27,20
1659228143,14,10,16,32,13,6,27,20
1659229850,14,10,16,32,13,6,27,20
1659252433,14,10,16,32,13,6,27,20
1659298086,14,11,16,32,15,6,28,23
