CODE,CAR120Y1-Y-20229-LEC-0101,CAR120Y1-Y-20229-LEC-2000
CAP,30,10
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,0,0
1657560899,0,0
1657592485,0,0
1657598160,0,0
1657657525,2,0
1657659552,2,0
1657678573,2,0
1657700368,2,0
1657734875,2,0
1657736016,2,0
1657737668,2,0
1657744785,2,0
1657780710,2,0
1657815712,2,0
1657827436,2,0
1657841417,2,0
1657851515,2,0
1657853748,2,0
1657868016,2,0
1657911019,4,0
1657914739,4,0
1657938197,4,0
1657991877,4,0
1658011954,4,0
1658085375,4,0
1658086268,4,0
1658101144,4,0
1658101464,4,0
1658117882,4,0
1658120797,4,0
1658149266,4,0
1658163601,4,0
1658192573,4,0
1658255573,6,0
1658255774,6,0
1658265957,6,0
1658282792,6,0
1658284123,6,0
1658341004,6,0
1658425299,6,0
1658438090,6,0
1658446148,6,0
1658446775,6,0
1658459996,6,0
1658514124,13,0
1658536180,13,0
1658552499,13,0
1658614187,13,0
1658631643,13,0
1658698075,14,0
1658768582,14,0
1658788813,14,0
1658856126,14,0
1658878858,14,0
1658879064,14,0
1658965226,15,0
1659041774,15,0
1659049569,15,0
1659055046,15,0
1659106104,15,0
1659116092,15,0
1659126300,15,0
1659137075,15,0
1659154614,15,0
1659160556,15,0
1659197512,15,0
1659228143,15,0
1659229850,15,0
1659252433,15,0
1659298086,15,0
