CODE,SLA101H1-S-20229-LEC-0101,SLA101H1-S-20229-LEC-5101
CAP,33,33
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,1,0
1657560905,1,0
1657592491,1,0
1657598166,1,0
1657657537,2,1
1657659562,2,1
1657678580,2,1
1657700377,2,1
1657734892,2,0
1657736031,2,0
1657737680,2,0
1657744796,2,0
1657780717,2,0
1657815723,2,1
1657827444,2,1
1657841424,2,1
1657851524,2,1
1657853756,2,1
1657868023,2,1
1657911025,5,1
1657914749,5,1
1657938204,5,1
1657991885,5,1
1658011963,5,1
1658085387,5,1
1658086283,5,1
1658101152,5,1
1658101473,5,1
1658117893,5,1
1658120808,5,1
1658149282,5,1
1658163609,5,1
1658192584,5,1
1658255580,10,5
1658255781,10,5
1658265969,10,5
1658282799,10,5
1658284132,10,5
1658341011,10,6
1658425310,10,6
1658438101,10,6
1658446157,10,6
1658446785,10,6
1658460004,10,6
1658514131,15,21
1658536189,15,21
1658552506,15,21
1658614194,15,21
1658631652,15,21
1658698082,15,21
1658768591,15,21
1658788819,15,21
1658856132,16,21
1658878866,16,21
1658879072,16,21
1658965232,16,21
1659041782,16,21
1659049575,16,21
1659055055,16,21
