CODE,CJH332H1-S-20229-LEC-0101
CAP,500
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,39
1657659562,39
1657678580,39
1657700377,39
1657734892,39
1657736031,39
1657737680,39
1657744796,39
1657780717,39
1657815723,41
1657827444,41
1657841424,41
1657851524,41
1657853756,41
1657868023,41
1657911025,196
1657914749,196
1657938204,196
1657991885,197
1658011963,197
1658085387,197
1658086283,197
1658101152,197
1658101473,197
1658117893,197
1658120808,197
1658149282,197
1658163609,197
1658192584,197
1658255580,265
1658255781,265
1658265969,265
1658282799,265
1658284132,265
1658341011,264
1658425310,264
1658438101,264
1658446157,264
1658446785,264
1658460004,264
1658514131,264
