CODE,MAT135H1-F-20229-LEC-0101,MAT135H1-F-20229-LEC-0201,MAT135H1-F-20229-LEC-0301,MAT135H1-F-20229-LEC-0401,MAT135H1-F-20229-LEC-0501,MAT135H1-F-20229-LEC-0502,MAT135H1-F-20229-LEC-0601,MAT135H1-F-20229-LEC-0602,MAT135H1-F-20229-LEC-0701,MAT135H1-F-20229-LEC-5101,MAT135H1-F-20229-LEC-5201
CAP,450,450,200,195,188,195,195,188,235,195,245
1656647689,0,0,0,0,0,0,0,0,0,0,0
1656655656,0,0,0,0,0,0,0,0,0,0,0
1656693722,0,0,0,0,0,0,0,0,0,0,0
1656799543,0,0,0,0,0,0,0,0,0,0,0
1657039029,0,0,0,0,0,0,0,0,0,0,0
1657124783,0,0,0,0,0,0,0,0,0,0,0
1657129900,0,0,0,0,0,0,0,0,0,0,0
1657154826,0,0,0,0,0,0,0,0,0,0,0
1657154927,0,0,0,0,0,0,0,0,0,0,0
1657157137,0,0,0,0,0,0,0,0,0,0,0
1657169424,0,0,0,0,0,0,0,0,0,0,0
1657171604,0,0,0,0,0,0,0,0,0,0,0
1657208564,0,0,0,0,0,0,0,0,0,0,0
1657224150,0,0,0,0,0,0,0,0,0,0,0
1657394888,0,0,0,0,0,0,0,0,0,0,0
1657522639,0,2,0,0,0,0,0,0,0,0,0
1657560897,0,2,0,0,0,0,0,0,0,0,0
1657592482,0,2,0,0,0,0,0,0,0,0,0
1657598158,0,2,0,0,0,0,0,0,0,0,0
1657657520,0,2,0,0,0,0,0,0,0,0,0
1657659549,0,2,0,0,0,0,0,0,0,0,0
1657678570,0,2,0,0,0,0,0,0,0,0,0
1657700365,0,2,0,0,0,0,0,0,0,0,0
1657734871,0,2,0,0,0,0,0,0,0,0,0
1657736010,0,2,0,0,0,0,0,0,0,0,0
1657737663,0,2,0,0,0,0,0,0,0,0,0
1657744779,0,2,0,0,0,0,0,0,0,0,0
1657780708,0,2,0,0,0,0,0,0,0,0,0
1657815709,0,2,0,0,0,0,0,0,0,0,0
1657827433,0,2,0,0,0,0,0,0,0,0,0
1657841414,0,2,0,0,0,0,0,0,0,0,0
1657851506,0,2,0,0,0,0,0,0,0,0,0
1657853745,0,2,0,0,0,0,0,0,0,0,0
1657868013,0,2,0,0,0,0,0,0,0,0,0
1657911016,0,2,0,0,0,1,0,0,0,2,0
1657914736,0,2,0,0,0,1,0,0,0,2,0
1657938194,0,2,0,0,0,1,0,0,0,2,0
1657991875,0,2,0,0,0,1,0,0,0,2,0
1658011950,0,2,0,0,0,1,0,0,0,2,0
1658085371,0,2,0,0,0,1,0,0,0,2,0
1658086263,0,2,0,0,0,1,0,0,0,2,0
1658101142,0,2,0,0,0,1,0,0,0,2,0
1658101460,0,2,0,0,0,1,0,0,0,2,0
1658117879,0,2,0,0,0,1,0,0,0,2,0
1658120793,0,2,0,0,0,1,0,0,0,2,0
1658149259,0,2,0,0,0,2,0,0,0,2,0
1658163599,0,2,0,0,0,2,0,0,0,2,0
1658192570,0,2,0,0,0,2,0,0,0,2,0
1658255570,298,3,0,1,0,10,2,1,1,3,0
1658255771,298,3,0,1,0,10,2,1,1,3,0
1658265950,298,3,0,1,0,10,2,1,1,3,0
1658282790,298,3,0,1,0,10,2,1,1,3,0
1658284116,298,3,0,1,0,10,2,1,1,3,0
1658341001,284,3,0,1,0,10,2,1,1,3,0
1658425295,275,4,1,1,0,12,2,1,2,2,0
1658438086,275,4,1,1,0,12,2,1,2,2,0
1658446145,275,4,1,1,0,12,2,1,2,2,0
1658446771,275,4,1,1,0,12,2,1,2,2,0
1658459993,275,4,1,1,0,12,2,1,2,2,0
1658514122,450,264,200,167,188,195,195,42,146,169,25
1658536177,450,264,200,167,188,195,195,42,146,169,25
1658552496,450,264,200,167,188,195,195,42,146,169,25
1658614184,450,267,200,173,188,195,195,49,148,167,26
1658631640,450,267,200,173,188,195,195,49,148,167,26
1658698072,450,266,200,173,188,195,195,55,150,166,25
1658768579,450,264,200,174,188,195,194,61,153,167,25
1658788810,450,264,200,174,188,195,194,61,153,167,25
1658856123,450,269,200,175,188,195,195,62,152,169,24
1658878855,450,269,200,175,188,195,195,62,152,169,24
1658879061,450,269,200,175,188,195,195,62,152,169,24
1658965224,450,271,200,178,188,195,195,64,154,168,24
1659041771,450,276,200,177,188,195,195,65,156,170,24
1659049567,450,276,200,177,188,195,195,65,156,170,24
1659055044,450,276,200,177,188,195,195,65,156,170,24
