CODE,DHU235H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,4
1657659549,4
1657678570,4
1657700365,4
1657734871,4
1657736010,4
1657737663,4
1657744779,4
1657780708,4
1657815709,4
1657827433,4
1657841414,4
1657851506,4
1657853745,4
1657868013,4
1657911016,16
1657914736,16
1657938194,16
1657991875,16
1658011950,16
1658085371,16
1658086263,16
1658101142,16
1658101460,16
1658117879,16
1658120793,16
1658149259,16
1658163599,16
1658192570,16
1658255570,58
1658255771,58
1658265950,58
1658282790,58
1658284116,58
1658341001,58
1658425295,61
1658438086,61
1658446145,61
1658446771,61
1658459993,61
1658514122,63
1658536177,63
1658552496,63
1658614184,64
1658631640,64
1658698072,64
1658768579,64
1658788810,64
1658856123,64
1658878855,64
1658879061,64
1658965224,64
1659041771,63
1659049567,63
1659055044,63
