CODE,ECO401H1-F-20229-LEC-0101,ECO401H1-F-20229-LEC-0201
CAP,35,35
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,32,33
1657560897,32,33
1657592482,32,33
1657598158,32,33
1657657520,91,88
1657659549,91,88
1657678570,91,88
1657700365,91,88
1657734871,89,89
1657736010,89,89
1657737663,89,89
1657744779,89,89
1657780708,89,89
1657815709,90,90
1657827433,90,90
1657841414,90,90
1657851506,90,90
1657853745,90,90
1657868013,90,90
1657911016,92,92
1657914736,92,92
1657938194,92,92
1657991875,92,91
1658011950,92,91
1658085371,91,92
1658086263,91,92
1658101142,91,92
1658101460,91,92
1658117879,91,92
1658120793,91,92
1658149259,91,91
1658163599,91,91
1658192570,91,91
1658255570,88,88
1658255771,88,88
1658265950,88,88
1658282790,88,88
1658284116,88,88
1658341001,87,86
1658425295,87,86
1658438086,87,86
1658446145,87,86
1658446771,87,86
1658459993,87,86
1658514122,87,86
