CODE,PSY328H1-F-20229-LEC-0101,PSY328H1-F-20229-LEC-0201
CAP,50,50
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,5,0
1657560897,5,0
1657592482,5,0
1657598158,5,0
1657657520,32,12
1657659549,32,12
1657678570,32,12
1657700365,32,12
1657734871,33,11
1657736010,33,11
1657737663,33,11
1657744779,33,11
1657780708,33,11
1657815709,32,11
1657827433,32,11
1657841414,32,11
1657851506,32,11
1657853745,32,11
1657868013,32,11
1657911016,57,43
1657914736,57,43
1657938194,57,43
1657991875,56,47
1658011950,56,47
1658085371,56,46
1658086263,56,46
1658101142,56,46
1658101460,56,46
1658117879,56,46
1658120793,56,46
1658149259,56,48
1658163599,56,48
1658192570,56,48
1658255570,59,56
1658255771,59,56
1658265950,59,56
1658282790,59,56
1658284116,59,56
1658341001,61,56
1658425295,60,57
1658438086,60,57
1658446145,60,57
1658446771,60,57
1658459993,60,57
1658514122,60,57
1658536177,60,57
1658552496,60,57
1658614184,60,57
1658631640,60,57
1658698072,61,58
1658768579,61,58
1658788810,61,58
1658856123,61,58
1658878855,61,58
1658879061,61,58
1658965224,61,59
1659041771,61,59
1659049567,61,59
1659055044,61,59
1659106101,61,58
1659116089,61,58
1659126296,61,58
1659137072,61,58
1659154611,61,58
1659160554,61,58
1659197509,65,66
1659228141,65,66
1659229848,65,66
1659252431,65,66
1659298084,66,66
