CODE,ENT200H1-F-20229-LEC-0101,ENT200H1-F-20229-LEC-0102
CAP,200,200
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,5,0
1657560897,5,0
1657592482,5,0
1657598158,5,0
1657657520,35,114
1657659549,35,114
1657678570,35,114
1657700365,35,114
1657734871,36,120
1657736010,36,120
1657737663,36,120
1657744779,36,120
1657780708,36,120
1657815709,37,120
1657827433,37,120
1657841414,37,120
1657851506,37,120
1657853745,37,120
1657868013,37,120
1657911016,64,198
1657914736,64,198
1657938194,64,198
1657991875,65,204
1658011950,65,204
1658085371,65,205
1658086263,65,205
1658101142,65,205
1658101460,65,205
1658117879,65,205
1658120793,65,205
1658149259,66,206
1658163599,66,206
1658192570,66,206
1658255570,123,236
1658255771,123,236
1658265950,123,236
1658282790,123,236
1658284116,123,236
1658341001,124,234
1658425295,127,238
1658438086,127,238
1658446145,127,238
1658446771,127,238
1658459993,127,238
1658514122,142,242
