CODE,EEB323H1-F-20229-LEC-0101
CAP,80
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,17
1657659549,17
1657678570,17
1657700365,17
1657734871,19
1657736010,19
1657737663,19
1657744779,19
1657780708,19
1657815709,19
1657827433,19
1657841414,19
1657851506,19
1657853745,19
1657868013,19
1657911016,55
1657914736,55
1657938194,55
1657991875,54
1658011950,54
1658085371,55
1658086263,55
1658101142,55
1658101460,55
1658117879,55
1658120793,55
1658149259,55
1658163599,55
1658192570,55
1658255570,58
1658255771,58
1658265950,58
1658282790,58
1658284116,58
1658341001,58
1658425295,59
1658438086,59
1658446145,59
1658446771,59
1658459993,59
1658514122,54
1658536177,54
1658552496,54
1658614184,54
1658631640,54
1658698072,54
1658768579,54
1658788810,54
1658856123,54
1658878855,54
1658879061,54
1658965224,55
1659041771,55
1659049567,55
1659055044,55
1659106101,54
1659116089,54
1659126296,54
1659137072,54
1659154611,54
1659160554,54
1659197509,55
1659228141,55
1659229848,55
1659252431,55
1659298084,55
