CODE,INS201Y1-Y-20229-LEC-0101,INS201Y1-Y-20229-LEC-2000
CAP,110,15
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,0,0
1657560899,0,0
1657592485,0,0
1657598160,0,0
1657657525,4,0
1657659552,4,0
1657678573,4,0
1657700368,4,0
1657734875,5,0
1657736016,5,0
1657737668,5,0
1657744785,5,0
1657780710,5,0
1657815712,5,0
1657827436,5,0
1657841417,5,0
1657851515,5,0
1657853748,5,0
1657868016,5,0
1657911019,12,0
1657914739,12,0
1657938197,12,0
1657991877,12,0
1658011954,12,0
1658085375,14,0
1658086268,14,0
1658101144,14,0
1658101464,14,0
1658117882,14,0
1658120797,14,0
1658149266,14,0
1658163601,14,0
1658192573,14,0
1658255573,31,0
1658255774,31,0
1658265957,31,0
1658282792,31,0
1658284123,31,0
1658341004,32,0
1658425299,32,0
1658438090,32,0
1658446148,32,0
1658446775,32,0
1658459996,32,0
1658514124,45,0
