CODE,ECO102H1-S-20229-LEC-0101,ECO102H1-S-20229-LEC-0201,ECO102H1-S-20229-LEC-0301,ECO102H1-S-20229-LEC-0401,ECO102H1-S-20229-LEC-2501,ECO102H1-S-20229-LEC-5101
CAP,468,468,468,468,65,403
1656647697,0,0,0,0,0,0
1656655667,0,0,0,0,0,0
1656693731,0,0,0,0,0,0
1656799552,0,0,0,0,0,0
1657039041,0,0,0,0,0,0
1657124791,0,0,0,0,0,0
1657129909,0,0,0,0,0,0
1657154834,0,0,0,0,0,0
1657154935,0,0,0,0,0,0
1657157146,0,0,0,0,0,0
1657169433,0,0,0,0,0,0
1657171616,0,0,0,0,0,0
1657208573,0,0,0,0,0,0
1657224158,0,0,0,0,0,0
1657394896,0,0,0,0,0,0
1657522648,0,0,0,0,0,0
1657560905,0,0,0,0,0,0
1657592491,0,0,0,0,0,0
1657598166,0,0,0,0,0,0
1657657537,0,0,0,0,0,0
1657659562,0,0,0,0,0,0
1657678580,0,0,0,0,0,0
1657700377,0,0,0,0,0,0
1657734892,0,0,0,0,0,0
1657736031,0,0,0,0,0,0
1657737680,0,0,0,0,0,0
1657744796,0,0,0,0,0,0
1657780717,0,0,0,0,0,0
1657815723,0,0,0,0,13,0
1657827444,0,0,0,0,13,0
1657841424,0,0,0,0,13,0
1657851524,0,0,0,0,13,0
1657853756,0,0,0,0,13,0
1657868023,0,0,0,0,13,0
1657911025,0,0,1,0,13,1
1657914749,0,0,1,0,13,1
1657938204,0,0,1,0,13,1
1657991885,0,0,1,0,13,1
1658011963,0,0,1,0,13,1
1658085387,0,0,1,0,13,1
1658086283,0,0,1,0,13,1
1658101152,0,0,1,0,13,1
1658101473,0,0,1,0,13,1
1658117893,0,0,1,0,13,1
1658120808,0,0,1,0,13,1
1658149282,0,0,1,0,13,1
1658163609,0,0,1,0,13,1
1658192584,0,0,1,0,13,1
1658255580,0,0,3,40,13,4
1658255781,0,0,3,40,13,4
1658265969,0,0,3,40,13,4
1658282799,0,0,3,40,13,4
1658284132,0,0,3,40,13,4
1658341011,0,0,3,34,12,4
1658425310,0,0,4,36,12,4
1658438101,0,0,4,36,12,4
1658446157,0,0,4,36,12,4
1658446785,0,0,4,36,12,4
1658460004,0,0,4,36,12,4
1658514131,477,401,613,599,13,517
