CODE,AST320H1-S-20229-LEC-0101,AST320H1-S-20229-LEC-2001
CAP,50,5
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,1,4
1657560905,1,4
1657592491,1,4
1657598166,1,4
1657657537,20,4
1657659562,20,4
1657678580,20,4
1657700377,20,4
1657734892,20,4
1657736031,20,4
1657737680,20,4
1657744796,20,4
1657780717,20,4
1657815723,20,4
1657827444,20,4
1657841424,20,4
1657851524,20,4
1657853756,20,4
1657868023,20,4
1657911025,60,4
1657914749,60,4
1657938204,60,4
1657991885,60,4
1658011963,60,4
1658085387,61,4
1658086283,61,4
1658101152,61,4
1658101473,61,4
1658117893,61,4
1658120808,61,4
1658149282,61,4
1658163609,61,4
1658192584,61,4
1658255580,65,4
1658255781,65,4
1658265969,65,4
1658282799,65,4
1658284132,65,4
1658341011,64,4
1658425310,65,4
1658438101,65,4
1658446157,65,4
1658446785,65,4
1658460004,65,4
1658514131,65,4
1658536189,65,4
1658552506,65,4
1658614194,66,4
1658631652,66,4
1658698082,65,4
1658768591,65,4
1658788819,65,4
1658856132,65,4
1658878866,65,4
1658879072,65,4
1658965232,65,4
1659041782,65,4
1659049575,65,4
1659055055,65,4
1659106110,64,4
1659116097,64,4
1659126308,64,4
1659137081,64,4
1659154622,64,4
1659160562,64,4
1659197518,64,4
1659228149,64,4
1659229856,64,4
1659252439,64,4
1659298092,64,4
