CODE,ECO320H1-F-20229-LEC-0101,ECO320H1-F-20229-LEC-0201
CAP,125,125
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,5,2
1657560897,5,2
1657592482,5,2
1657598158,5,2
1657657520,44,21
1657659549,44,21
1657678570,44,21
1657700365,44,21
1657734871,45,21
1657736010,45,21
1657737663,45,21
1657744779,45,21
1657780708,45,21
1657815709,43,21
1657827433,43,21
1657841414,43,21
1657851506,43,21
1657853745,43,21
1657868013,43,21
1657911016,118,75
1657914736,118,75
1657938194,118,75
1657991875,118,78
1658011950,118,78
1658085371,117,79
1658086263,117,79
1658101142,117,79
1658101460,117,79
1658117879,117,79
1658120793,117,79
1658149259,121,79
1658163599,121,79
1658192570,121,79
1658255570,130,84
1658255771,130,84
1658265950,130,84
1658282790,130,84
1658284116,130,84
1658341001,131,85
1658425295,131,88
1658438086,131,88
1658446145,131,88
1658446771,131,88
1658459993,131,88
1658514122,131,88
1658536177,131,88
1658552496,131,88
1658614184,131,88
1658631640,131,88
1658698072,130,90
1658768579,130,90
1658788810,130,90
1658856123,131,89
1658878855,131,89
1658879061,131,89
1658965224,130,89
1659041771,130,90
1659049567,130,90
1659055044,130,90
1659106101,130,90
1659116089,130,90
1659126296,130,90
1659137072,130,90
1659154611,130,90
1659160554,130,90
1659197509,133,105
1659228141,133,105
1659229848,133,105
1659252431,133,105
1659298084,133,108
