CODE,GER300Y1-Y-20229-LEC-0101,GER300Y1-Y-20229-LEC-0201,GER300Y1-Y-20229-LEC-5101
CAP,30,30,30
1656647691,0,0,0
1656655658,0,0,0
1656693725,0,0,0
1656799545,0,0,0
1657039032,0,0,0
1657124785,0,0,0
1657129902,0,0,0
1657154828,0,0,0
1657154929,0,0,0
1657157139,0,0,0
1657169427,0,0,0
1657171607,0,0,0
1657208567,0,0,0
1657224152,0,0,0
1657394890,0,0,0
1657522642,0,0,0
1657560899,0,0,0
1657592485,0,0,0
1657598160,0,0,0
1657657525,2,2,1
1657659552,2,2,1
1657678573,2,2,1
1657700368,2,2,1
1657734875,2,2,1
1657736016,2,2,1
1657737668,2,2,1
1657744785,2,2,1
1657780710,2,2,1
1657815712,3,2,1
1657827436,3,2,1
1657841417,3,2,1
1657851515,3,2,1
1657853748,3,2,1
1657868016,3,2,1
1657911019,7,6,5
1657914739,7,6,5
1657938197,7,6,5
1657991877,7,7,5
1658011954,7,7,5
1658085375,8,7,5
1658086268,8,7,5
1658101144,8,7,5
1658101464,8,7,5
1658117882,8,7,5
1658120797,8,7,5
1658149266,8,7,5
1658163601,8,7,5
1658192573,8,7,5
1658255573,11,9,5
1658255774,11,9,5
1658265957,11,9,5
1658282792,11,9,5
1658284123,11,9,5
1658341004,11,8,5
1658425299,11,8,5
1658438090,11,8,5
1658446148,11,8,5
1658446775,11,8,5
1658459996,11,8,5
1658514124,11,10,6
1658536180,11,10,6
1658552499,11,10,6
1658614187,11,10,6
1658631643,11,10,6
1658698075,11,10,6
1658768582,11,10,7
1658788813,11,10,7
1658856126,11,10,7
1658878858,11,10,7
1658879064,11,10,7
1658965226,11,10,7
1659041774,11,10,7
1659049569,11,10,7
1659055046,11,10,7
1659106104,11,10,7
1659116092,11,10,7
1659126300,11,10,7
1659137075,11,10,7
1659154614,11,10,7
1659160556,11,10,7
1659197512,10,10,8
1659228143,10,10,8
1659229850,10,10,8
1659252433,10,10,8
1659298086,10,11,8
