CODE,BIO270H1-F-20229-LEC-0101
CAP,250
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,29
1657659549,29
1657678570,29
1657700365,29
1657734871,30
1657736010,30
1657737663,30
1657744779,30
1657780708,30
1657815709,32
1657827433,32
1657841414,32
1657851506,32
1657853745,32
1657868013,32
1657911016,97
1657914736,97
1657938194,97
1657991875,96
1658011950,96
1658085371,96
1658086263,96
1658101142,96
1658101460,96
1658117879,96
1658120793,96
1658149259,96
1658163599,96
1658192570,96
1658255570,245
1658255771,245
1658265950,245
1658282790,245
1658284116,245
1658341001,244
1658425295,248
1658438086,248
1658446145,248
1658446771,248
1658459993,248
1658514122,257
1658536177,257
1658552496,257
1658614184,258
1658631640,258
1658698072,258
1658768579,257
1658788810,257
1658856123,258
1658878855,258
1658879061,258
1658965224,262
1659041771,260
1659049567,260
1659055044,260
