CODE,HMB200H1-S-20229-LEC-0101,HMB200H1-S-20229-LEC-2001
CAP,241,10
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,7
1657560905,0,7
1657592491,0,7
1657598166,0,7
1657657537,3,7
1657659562,3,7
1657678580,3,7
1657700377,3,7
1657734892,3,7
1657736031,3,7
1657737680,3,7
1657744796,3,7
1657780717,3,7
1657815723,3,9
1657827444,3,9
1657841424,3,9
1657851524,3,9
1657853756,3,9
1657868023,3,9
1657911025,24,9
1657914749,24,9
1657938204,24,9
1657991885,24,9
1658011963,24,9
1658085387,25,9
1658086283,25,9
1658101152,25,9
1658101473,25,9
1658117893,25,9
1658120808,25,9
1658149282,25,9
1658163609,25,9
1658192584,25,9
1658255580,161,9
1658255781,161,9
1658265969,161,9
1658282799,161,9
1658284132,161,9
1658341011,161,9
1658425310,161,9
1658438101,161,9
1658446157,161,9
1658446785,161,9
1658460004,161,9
1658514131,161,9
1658536189,161,9
1658552506,161,9
1658614194,161,9
1658631652,161,9
1658698082,160,9
1658768591,160,9
1658788819,160,9
1658856132,160,9
1658878866,160,9
1658879072,160,9
1658965232,160,9
1659041782,161,9
1659049575,161,9
1659055055,161,9
1659106110,161,9
1659116097,161,9
1659126308,161,9
1659137081,161,9
1659154622,161,9
1659160562,161,9
1659197518,291,9
1659228149,291,9
1659229856,291,9
1659252439,291,9
1659298092,297,9
