CODE,CSC304H1-F-20229-LEC-0101
CAP,125
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,4
1657560897,4
1657592482,4
1657598158,4
1657657520,142
1657659549,142
1657678570,142
1657700365,142
1657734871,147
1657736010,147
1657737663,147
1657744779,147
1657780708,147
1657815709,147
1657827433,147
1657841414,147
1657851506,147
1657853745,147
1657868013,147
1657911016,182
1657914736,182
1657938194,182
1657991875,183
1658011950,183
1658085371,182
1658086263,182
1658101142,182
1658101460,182
1658117879,182
1658120793,182
1658149259,182
1658163599,182
1658192570,182
1658255570,184
1658255771,184
1658265950,184
1658282790,184
1658284116,184
1658341001,184
1658425295,181
1658438086,181
1658446145,181
1658446771,181
1658459993,181
1658514122,181
