CODE,RSM222H1-F-20229-LEC-0101,RSM222H1-F-20229-LEC-0201,RSM222H1-F-20229-LEC-0202,RSM222H1-F-20229-LEC-0301,RSM222H1-F-20229-LEC-0401,RSM222H1-F-20229-LEC-0501,RSM222H1-F-20229-LEC-0601,RSM222H1-F-20229-LEC-0701,RSM222H1-F-20229-LEC-0901,RSM222H1-F-20229-LEC-5101,RSM222H1-F-20229-LEC-5201,RSM222H1-F-20229-LEC-5301
CAP,50,50,50,50,50,50,50,50,50,50,50,50
1656647689,0,0,0,0,0,0,0,0,0,0,0,0
1656655656,0,0,0,0,0,0,0,0,0,0,0,0
1656693722,0,0,0,0,0,0,0,0,0,0,0,0
1656799543,0,0,0,0,0,0,0,0,0,0,0,0
1657039029,0,0,0,0,0,0,0,0,0,0,0,0
1657124783,0,0,0,0,0,0,0,0,0,0,0,0
1657129900,0,0,0,0,0,0,0,0,0,0,0,0
1657154826,0,0,0,0,0,0,0,0,0,0,0,0
1657154927,0,0,0,0,0,0,0,0,0,0,0,0
1657157137,0,0,0,0,0,0,0,0,0,0,0,0
1657169424,0,0,0,0,0,0,0,0,0,0,0,0
1657171604,0,0,0,0,0,0,0,0,0,0,0,0
1657208564,0,0,0,0,0,0,0,0,0,0,0,0
1657224150,0,0,0,0,0,0,0,0,0,0,0,0
1657394888,0,0,0,0,0,0,0,0,0,0,0,0
1657522639,0,0,0,0,0,0,0,2,0,0,1,0
1657560897,0,0,0,0,0,0,0,2,0,0,1,0
1657592482,0,0,0,0,0,0,0,2,0,0,1,0
1657598158,0,0,0,0,0,0,0,2,0,0,1,0
1657657520,0,0,0,0,1,0,0,2,0,0,1,0
1657659549,0,0,0,0,1,0,0,2,0,0,1,0
1657678570,0,0,0,0,1,0,0,2,0,0,1,0
1657700365,0,0,0,0,1,0,0,2,0,0,1,0
1657734871,0,0,0,0,1,0,0,2,0,0,1,0
1657736010,0,0,0,0,1,0,0,2,0,0,1,0
1657737663,0,0,0,0,1,0,0,2,0,0,1,0
1657744779,0,0,0,0,1,0,0,2,0,0,1,0
1657780708,0,0,0,0,1,0,0,2,0,0,1,0
1657815709,0,0,0,0,1,0,0,2,0,0,1,0
1657827433,0,0,0,0,1,0,0,2,0,0,1,0
1657841414,0,0,0,0,1,0,0,2,0,0,1,0
1657851506,0,0,0,0,1,0,0,2,0,0,1,0
1657853745,0,0,0,0,1,0,0,2,0,0,1,0
1657868013,0,0,0,0,1,0,0,2,0,0,1,0
1657911016,1,11,2,4,11,0,0,9,3,0,1,0
1657914736,1,11,2,4,11,0,0,9,3,0,1,0
1657938194,1,11,2,4,11,0,0,9,3,0,1,0
1657991875,1,12,2,4,12,0,0,9,3,0,1,0
1658011950,1,12,2,4,12,0,0,9,3,0,1,0
1658085371,1,12,2,4,12,0,0,9,3,0,1,0
1658086263,1,12,2,4,12,0,0,9,3,0,1,0
1658101142,1,12,2,4,12,0,0,9,3,0,1,0
1658101460,1,12,2,4,12,0,0,9,3,0,1,0
1658117879,1,12,2,4,12,0,0,9,3,0,1,0
1658120793,1,12,2,4,12,0,0,9,3,0,1,0
1658149259,1,12,2,4,12,0,0,9,3,0,1,0
1658163599,1,12,2,4,12,0,0,9,3,0,1,0
1658192570,1,12,2,4,12,0,0,9,3,0,1,0
1658255570,41,79,30,77,80,62,58,76,40,7,14,10
1658255771,41,79,30,77,80,62,58,76,40,7,14,10
1658265950,41,79,30,77,80,62,58,76,40,7,14,10
1658282790,41,79,30,77,80,62,58,76,40,7,14,10
1658284116,41,79,30,77,80,62,58,76,40,7,14,10
1658341001,40,78,30,77,80,63,58,76,39,7,14,10
1658425295,40,78,31,79,80,64,59,77,37,7,16,10
1658438086,40,78,31,79,80,64,59,77,37,7,16,10
1658446145,40,78,31,79,80,64,59,77,37,7,16,10
1658446771,40,78,31,79,80,64,59,77,37,7,16,10
1658459993,40,78,31,79,80,64,59,77,37,7,16,10
1658514122,40,78,30,79,80,64,59,77,39,7,15,10
1658536177,40,78,30,79,80,64,59,77,39,7,15,10
1658552496,40,78,30,79,80,64,59,77,39,7,15,10
1658614184,40,78,30,79,79,65,59,77,39,7,15,10
1658631640,40,78,30,79,79,65,59,77,39,7,15,10
1658698072,40,78,30,79,79,65,59,77,39,7,15,10
1658768579,39,78,30,79,79,66,59,77,40,7,15,10
1658788810,39,78,30,79,79,66,59,77,40,7,15,10
1658856123,39,78,30,79,79,66,59,77,41,7,15,10
1658878855,39,78,30,79,79,66,59,77,41,7,15,10
1658879061,39,78,30,79,79,66,59,77,41,7,15,10
1658965224,38,77,29,78,77,66,59,77,42,7,16,10
1659041771,39,76,28,77,76,65,59,76,42,7,17,10
1659049567,39,76,28,77,76,65,59,76,42,7,17,10
1659055044,39,76,28,77,76,65,59,76,42,7,17,10
1659106101,39,76,28,77,76,65,59,76,42,7,17,10
1659116089,39,76,28,77,76,65,59,76,42,7,17,10
1659126296,39,76,28,77,76,65,59,76,42,7,17,10
1659137072,39,76,28,77,76,65,59,76,42,7,17,10
1659154611,39,76,28,77,76,65,59,76,42,7,17,10
1659160554,39,76,28,77,76,65,59,76,42,7,17,10
1659197509,37,76,28,75,76,64,58,73,46,6,17,10
1659228141,37,76,28,75,76,64,58,73,46,6,17,10
1659229848,37,76,28,75,76,64,58,73,46,6,17,10
1659252431,37,76,28,75,76,64,58,73,46,6,17,10
1659298084,37,76,29,75,76,64,58,73,46,6,17,11
