CODE,MAT223H1-F-20229-LEC-0101,MAT223H1-F-20229-LEC-0201,MAT223H1-F-20229-LEC-0301,MAT223H1-F-20229-LEC-0401,MAT223H1-F-20229-LEC-0501,MAT223H1-F-20229-LEC-0601,MAT223H1-F-20229-LEC-0701,MAT223H1-F-20229-LEC-5101
CAP,188,188,188,188,188,188,188,188
1656647689,0,0,0,0,0,0,0,0
1656655656,0,0,0,0,0,0,0,0
1656693722,0,0,0,0,0,0,0,0
1656799543,0,0,0,0,0,0,0,0
1657039029,0,0,0,0,0,0,0,0
1657124783,0,0,0,0,0,0,0,0
1657129900,0,0,0,0,0,0,0,0
1657154826,0,0,0,0,0,0,0,0
1657154927,0,0,0,0,0,0,0,0
1657157137,0,0,0,0,0,0,0,0
1657169424,0,0,0,0,0,0,0,0
1657171604,0,0,0,0,0,0,0,0
1657208564,0,0,0,0,0,0,0,0
1657224150,0,0,0,0,0,0,0,0
1657394888,0,0,0,0,0,0,0,0
1657522639,0,2,0,0,0,0,1,0
1657560897,0,2,0,0,0,0,1,0
1657592482,0,2,0,0,0,0,1,0
1657598158,0,2,0,0,0,0,1,0
1657657520,0,2,0,0,0,0,1,0
1657659549,0,2,0,0,0,0,1,0
1657678570,0,2,0,0,0,0,1,0
1657700365,0,2,0,0,0,0,1,0
1657734871,0,2,0,0,0,0,1,0
1657736010,0,2,0,0,0,0,1,0
1657737663,0,2,0,0,0,0,1,0
1657744779,0,2,0,0,0,0,1,0
1657780708,0,2,0,0,0,0,1,0
1657815709,0,2,0,0,0,0,1,0
1657827433,0,2,0,0,0,0,1,0
1657841414,0,2,0,0,0,0,1,0
1657851506,0,2,0,0,0,0,1,0
1657853745,0,2,0,0,0,0,1,0
1657868013,0,2,0,0,0,0,1,0
1657911016,0,2,0,0,0,0,1,0
1657914736,0,2,0,0,0,0,1,0
1657938194,0,2,0,0,0,0,1,0
1657991875,0,2,0,0,0,0,1,0
1658011950,0,2,0,0,0,0,1,0
1658085371,0,2,0,0,0,0,1,0
1658086263,0,2,0,0,0,0,1,0
1658101142,0,2,0,0,0,0,1,0
1658101460,0,2,0,0,0,0,1,0
1658117879,0,2,0,0,0,0,1,0
1658120793,0,2,0,0,0,0,1,0
1658149259,0,2,0,0,0,0,1,0
1658163599,0,2,0,0,0,0,1,0
1658192570,0,2,0,0,0,0,1,0
1658255570,0,39,0,0,0,0,1,0
1658255771,0,39,0,0,0,0,1,0
1658265950,0,39,0,0,0,0,1,0
1658282790,0,39,0,0,0,0,1,0
1658284116,0,39,0,0,0,0,1,0
1658341001,0,35,0,0,0,0,1,0
1658425295,0,32,0,0,0,0,1,0
1658438086,0,32,0,0,0,0,1,0
1658446145,0,32,0,0,0,0,1,0
1658446771,0,32,0,0,0,0,1,0
1658459993,0,32,0,0,0,0,1,0
1658514122,81,135,181,93,137,82,52,31
1658536177,81,135,181,93,137,82,52,31
1658552496,81,135,181,93,137,82,52,31
1658614184,81,140,183,92,136,82,55,31
1658631640,81,140,183,92,136,82,55,31
1658698072,81,142,183,93,136,82,56,31
1658768579,80,139,183,95,138,84,57,31
1658788810,80,139,183,95,138,84,57,31
1658856123,81,140,182,95,138,85,56,31
1658878855,81,140,182,95,138,85,56,31
1658879061,81,140,182,95,138,85,56,31
