CODE,BIO120H1-F-20229-LEC-0101,BIO120H1-F-20229-LEC-0201,BIO120H1-F-20229-LEC-2000,BIO120H1-F-20229-LEC-2002
CAP,1480,611,10,10
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,2,0,0,0
1657560897,2,0,0,0
1657592482,2,0,0,0
1657598158,2,0,0,0
1657657520,2,0,0,0
1657659549,2,0,0,0
1657678570,2,0,0,0
1657700365,2,0,0,0
1657734871,2,0,0,0
1657736010,2,0,0,0
1657737663,2,0,0,0
1657744779,2,0,0,0
1657780708,2,0,0,0
1657815709,2,0,0,3
1657827433,2,0,0,3
1657841414,2,0,0,3
1657851506,2,0,0,3
1657853745,2,0,0,3
1657868013,2,0,0,3
1657911016,5,1,0,3
1657914736,5,1,0,3
1657938194,5,1,0,3
1657991875,5,1,0,2
1658011950,5,1,0,2
1658085371,5,1,0,2
1658086263,5,1,0,2
1658101142,5,1,0,2
1658101460,5,1,0,2
1658117879,5,1,0,2
1658120793,5,1,0,2
1658149259,5,2,0,2
1658163599,5,2,0,2
1658192570,5,2,0,2
1658255570,323,10,0,2
1658255771,323,10,0,2
1658265950,323,10,0,2
1658282790,323,10,0,2
1658284116,323,10,0,2
1658341001,314,10,0,2
1658425295,311,11,0,2
1658438086,311,11,0,2
1658446145,311,11,0,2
1658446771,311,11,0,2
1658459993,311,11,0,2
1658514122,1607,225,0,2
