CODE,MAT237Y1-Y-20229-LEC-0101,MAT237Y1-Y-20229-LEC-0201,MAT237Y1-Y-20229-LEC-0301,MAT237Y1-Y-20229-LEC-5101
CAP,160,160,160,160
1656647691,0,0,0,0
1656655658,0,0,0,0
1656693725,0,0,0,0
1656799545,0,0,0,0
1657039032,0,0,0,0
1657124785,0,0,0,0
1657129902,0,0,0,0
1657154828,0,0,0,0
1657154929,0,0,0,0
1657157139,0,0,0,0
1657169427,0,0,0,0
1657171607,0,0,0,0
1657208567,0,0,0,0
1657224152,0,0,0,0
1657394890,0,0,0,0
1657522642,0,0,0,0
1657560899,0,0,0,0
1657592485,0,0,0,0
1657598160,0,0,0,0
1657657525,3,2,0,1
1657659552,3,2,0,1
1657678573,3,2,0,1
1657700368,3,2,0,1
1657734875,3,2,0,1
1657736016,3,2,0,1
1657737668,3,2,0,1
1657744785,3,2,0,1
1657780710,3,2,0,1
1657815712,3,2,0,1
1657827436,3,2,0,1
1657841417,3,2,0,1
1657851515,3,2,0,1
1657853748,3,2,0,1
1657868016,3,2,0,1
1657911019,30,17,9,8
1657914739,30,17,9,8
1657938197,30,17,9,8
1657991877,29,17,14,9
1658011954,29,17,14,9
1658085375,30,17,15,9
1658086268,30,17,15,9
1658101144,30,17,15,9
1658101464,30,17,15,9
1658117882,30,17,15,9
1658120797,30,17,15,9
1658149266,31,17,16,9
1658163601,31,17,16,9
1658192573,31,17,16,9
1658255573,174,150,107,73
1658255774,174,150,107,73
1658265957,174,150,107,73
1658282792,174,150,107,73
1658284123,174,150,107,73
1658341004,175,150,106,74
1658425299,175,157,107,75
1658438090,175,157,107,75
1658446148,175,157,107,75
1658446775,175,157,107,75
1658459996,175,157,107,75
1658514124,176,162,111,76
1658536180,176,162,111,76
1658552499,176,162,111,76
1658614187,176,162,111,77
1658631643,176,162,111,77
1658698075,176,162,112,79
1658768582,176,162,112,79
1658788813,176,162,112,79
1658856126,176,163,118,80
1658878858,176,163,118,80
1658879064,176,163,118,80
