CODE,ESS262H1-F-20229-LEC-0101,ESS262H1-F-20229-LEC-2001
CAP,100,15
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,15
1657560897,1,15
1657592482,1,15
1657598158,1,15
1657657520,20,15
1657659549,20,15
1657678570,20,15
1657700365,20,15
1657734871,20,17
1657736010,20,17
1657737663,20,17
1657744779,20,17
1657780708,20,17
1657815709,20,17
1657827433,20,17
1657841414,20,17
1657851506,20,17
1657853745,20,17
1657868013,20,17
1657911016,55,17
1657914736,55,17
1657938194,55,17
1657991875,55,17
1658011950,55,17
1658085371,55,17
1658086263,55,17
1658101142,55,17
1658101460,55,17
1658117879,55,17
1658120793,55,17
1658149259,55,17
1658163599,55,17
1658192570,55,17
1658255570,100,20
1658255771,100,20
1658265950,100,20
1658282790,100,20
1658284116,100,20
1658341001,101,20
1658425295,102,19
1658438086,102,19
1658446145,102,19
1658446771,102,19
1658459993,102,19
1658514122,106,19
