CODE,ECO349H1-S-20229-LEC-0101,ECO349H1-S-20229-LEC-0201,ECO349H1-S-20229-LEC-5101
CAP,130,130,130
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,1,0,1
1657560905,1,0,1
1657592491,1,0,1
1657598166,1,0,1
1657657537,13,39,22
1657659562,13,39,22
1657678580,13,39,22
1657700377,13,39,22
1657734892,14,40,22
1657736031,14,40,22
1657737680,14,40,22
1657744796,14,40,22
1657780717,14,40,22
1657815723,15,41,24
1657827444,15,41,24
1657841424,15,41,24
1657851524,15,41,24
1657853756,15,41,24
1657868023,15,41,24
1657911025,49,137,67
1657914749,49,137,67
1657938204,49,137,67
1657991885,49,137,69
1658011963,49,137,69
1658085387,48,137,71
1658086283,48,137,71
1658101152,48,137,71
1658101473,48,137,71
1658117893,48,137,71
1658120808,48,137,71
1658149282,48,137,74
1658163609,48,137,74
1658192584,48,137,74
1658255580,52,137,78
1658255781,52,137,78
1658265969,52,137,78
1658282799,52,137,78
1658284132,52,137,78
1658341011,52,137,78
1658425310,52,137,78
1658438101,52,137,78
1658446157,52,137,78
1658446785,52,137,78
1658460004,52,137,78
1658514131,51,137,80
1658536189,51,137,80
1658552506,51,137,80
1658614194,51,137,80
1658631652,51,137,80
1658698082,51,138,80
1658768591,52,138,80
1658788819,52,138,80
1658856132,52,138,81
1658878866,52,138,81
1658879072,52,138,81
1658965232,53,138,82
1659041782,54,138,81
1659049575,54,138,81
1659055055,54,138,81
