CODE,FSL100H1-F-20229-LEC-0101,FSL100H1-F-20229-LEC-0201,FSL100H1-F-20229-LEC-0301,FSL100H1-F-20229-LEC-5101
CAP,83,83,83,83
1656647689,0,0,0,0
1656655656,0,0,0,0
1656693722,0,0,0,0
1656799543,0,0,0,0
1657039029,0,0,0,0
1657124783,0,0,0,0
1657129900,0,0,0,0
1657154826,0,0,0,0
1657154927,0,0,0,0
1657157137,0,0,0,0
1657169424,0,0,0,0
1657171604,0,0,0,0
1657208564,0,0,0,0
1657224150,0,0,0,0
1657394888,0,0,0,0
1657522639,2,2,2,0
1657560897,2,2,2,0
1657592482,2,2,2,0
1657598158,2,2,2,0
1657657520,18,38,13,5
1657659549,18,38,13,5
1657678570,18,38,13,5
1657700365,18,38,13,5
1657734871,18,42,12,5
1657736010,18,42,12,5
1657737663,18,42,12,5
1657744779,18,42,12,5
1657780708,18,42,12,5
1657815709,17,43,11,8
1657827433,17,43,11,8
1657841414,17,43,11,8
1657851506,17,43,11,8
1657853745,17,43,11,8
1657868013,17,43,11,8
1657911016,33,70,23,21
1657914736,33,70,23,21
1657938194,33,70,23,21
1657991875,32,71,22,21
1658011950,32,71,22,21
1658085371,32,70,23,22
1658086263,32,70,23,22
1658101142,32,70,23,22
1658101460,32,70,23,22
1658117879,32,70,23,22
1658120793,32,70,23,22
1658149259,31,71,25,22
1658163599,31,71,25,22
1658192570,31,71,25,22
1658255570,58,85,60,60
1658255771,58,85,60,60
1658265950,58,85,60,60
1658282790,58,85,60,60
1658284116,58,85,60,60
1658341001,56,84,62,59
1658425295,56,84,67,60
1658438086,56,84,67,60
1658446145,56,84,67,60
1658446771,56,84,67,60
1658459993,56,84,67,60
1658514122,108,112,113,125
