CODE,MCS225Y1-Y-20229-LEC-0101
CAP,45
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,0
1657659552,0
1657678573,0
1657700368,0
1657734875,0
1657736016,0
1657737668,0
1657744785,0
1657780710,0
1657815712,0
1657827436,0
1657841417,0
1657851515,0
1657853748,0
1657868016,0
1657911019,6
1657914739,6
1657938197,6
1657991877,6
1658011954,6
1658085375,6
1658086268,6
1658101144,6
1658101464,6
1658117882,6
1658120797,6
1658149266,6
1658163601,6
1658192573,6
1658255573,15
1658255774,15
1658265957,15
1658282792,15
1658284123,15
1658341004,15
1658425299,15
1658438090,15
1658446148,15
1658446775,15
1658459996,15
1658514124,16
1658536180,16
1658552499,16
1658614187,16
1658631643,16
1658698075,16
1658768582,16
1658788813,16
1658856126,15
1658878858,15
1658879064,15
1658965226,15
1659041774,15
1659049569,15
1659055046,15
