CODE,SOC150H1-S-20229-LEC-0101,SOC150H1-S-20229-LEC-0201,SOC150H1-S-20229-LEC-2001
CAP,675,200,25
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,0,0,0
1657560905,0,0,0
1657592491,0,0,0
1657598166,0,0,0
1657657537,0,6,0
1657659562,0,6,0
1657678580,0,6,0
1657700377,0,6,0
1657734892,0,6,0
1657736031,0,6,0
1657737680,0,6,0
1657744796,0,6,0
1657780717,0,6,0
1657815723,0,6,1
1657827444,0,6,1
1657841424,0,6,1
1657851524,0,6,1
1657853756,0,6,1
1657868023,0,6,1
1657911025,1,26,1
1657914749,1,26,1
1657938204,1,26,1
1657991885,1,26,1
1658011963,1,26,1
1658085387,1,26,1
1658086283,1,26,1
1658101152,1,26,1
1658101473,1,26,1
1658117893,1,26,1
1658120808,1,26,1
1658149282,1,27,1
1658163609,1,27,1
1658192584,1,27,1
1658255580,62,119,0
1658255781,62,119,0
1658265969,62,119,0
1658282799,62,119,0
1658284132,62,119,0
1658341011,62,121,0
1658425310,61,120,0
1658438101,61,120,0
1658446157,61,120,0
1658446785,61,120,0
1658460004,61,120,0
1658514131,616,234,0
1658536189,616,234,0
1658552506,616,234,0
1658614194,622,235,0
1658631652,622,235,0
1658698082,625,236,0
1658768591,629,238,0
1658788819,629,238,0
1658856132,637,237,0
1658878866,637,237,0
1658879072,637,237,0
1658965232,646,238,0
1659041782,650,239,0
1659049575,650,239,0
1659055055,650,239,0
