CODE,RSM422H1-F-20229-LEC-0101,RSM422H1-F-20229-LEC-0201,RSM422H1-F-20229-LEC-0301
CAP,50,50,50
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,3,0,0
1657560897,3,0,0
1657592482,3,0,0
1657598158,3,0,0
1657657520,50,14,33
1657659549,50,14,33
1657678570,50,14,33
1657700365,50,14,33
1657734871,49,14,35
1657736010,49,14,35
1657737663,49,14,35
1657744779,49,14,35
1657780708,49,14,35
1657815709,50,14,34
1657827433,50,14,34
1657841414,50,14,34
1657851506,50,14,34
1657853745,50,14,34
1657868013,50,14,34
1657911016,51,18,42
1657914736,51,18,42
1657938194,51,18,42
1657991875,51,18,42
1658011950,51,18,42
1658085371,51,16,44
1658086263,51,16,44
1658101142,51,16,44
1658101460,51,16,44
1658117879,51,16,44
1658120793,51,16,44
1658149259,51,17,44
1658163599,51,17,44
1658192570,51,17,44
1658255570,50,18,44
1658255771,50,18,44
1658265950,50,18,44
1658282790,50,18,44
1658284116,50,18,44
1658341001,50,18,45
1658425295,50,19,43
1658438086,50,19,43
1658446145,50,19,43
1658446771,50,19,43
1658459993,50,19,43
1658514122,50,18,43
1658536177,50,18,43
1658552496,50,18,43
1658614184,50,18,43
1658631640,50,18,43
1658698072,50,18,43
1658768579,50,18,43
1658788810,50,18,43
1658856123,44,22,45
1658878855,44,22,45
1658879061,44,22,45
1658965224,40,25,46
1659041771,40,25,46
1659049567,40,25,46
1659055044,40,25,46
1659106101,40,25,46
1659116089,40,25,46
1659126296,40,25,46
1659137072,40,25,46
1659154611,40,25,46
1659160554,40,25,46
1659197509,37,27,50
1659228141,37,27,50
1659229848,37,27,50
1659252431,37,27,50
1659298084,38,27,51
