CODE,TRN412H1-S-20229-LEC-0101,TRN412H1-S-20229-LEC-0201,TRN412H1-S-20229-LEC-0301
CAP,15,15,15
1656647697,0,0,0
1656655667,0,0,0
1656693731,0,0,0
1656799552,0,0,0
1657039041,0,0,0
1657124791,0,0,0
1657129909,0,0,0
1657154834,0,0,0
1657154935,0,0,0
1657157146,0,0,0
1657169433,0,0,0
1657171616,0,0,0
1657208573,0,0,0
1657224158,0,0,0
1657394896,0,0,0
1657522648,0,0,0
1657560905,0,0,0
1657592491,0,0,0
1657598166,0,0,0
1657657537,13,10,10
1657659562,13,10,10
1657678580,13,10,10
1657700377,13,10,10
1657734892,14,10,10
1657736031,14,10,10
1657737680,14,10,10
1657744796,14,10,10
1657780717,14,10,10
1657815723,14,11,10
1657827444,14,11,10
1657841424,14,11,10
1657851524,14,11,10
1657853756,14,11,10
1657868023,14,11,10
1657911025,14,12,10
1657914749,14,12,10
1657938204,14,12,10
1657991885,14,12,10
1658011963,14,12,10
1658085387,14,12,10
1658086283,14,12,10
1658101152,14,12,10
1658101473,14,12,10
1658117893,14,12,10
1658120808,14,12,10
1658149282,14,12,10
1658163609,14,12,10
1658192584,14,12,10
1658255580,14,12,10
1658255781,14,12,10
1658265969,14,12,10
1658282799,14,12,10
1658284132,14,12,10
1658341011,14,12,10
1658425310,14,12,10
1658438101,14,12,10
1658446157,14,12,10
1658446785,14,12,10
1658460004,14,12,10
1658514131,14,12,10
