CODE,PPG401H1-S-20229-LEC-0101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,37
1657659562,37
1657678580,37
1657700377,37
1657734892,38
1657736031,38
1657737680,38
1657744796,38
1657780717,38
1657815723,39
1657827444,39
1657841424,39
1657851524,39
1657853756,39
1657868023,39
1657911025,39
1657914749,39
1657938204,39
1657991885,39
1658011963,39
1658085387,39
1658086283,39
1658101152,39
1658101473,39
1658117893,39
1658120808,39
1658149282,39
1658163609,39
1658192584,39
1658255580,39
1658255781,39
1658265969,39
1658282799,39
1658284132,39
1658341011,39
1658425310,39
1658438101,39
1658446157,39
1658446785,39
1658460004,39
1658514131,39
1658536189,39
1658552506,39
1658614194,39
1658631652,39
1658698082,39
1658768591,39
1658788819,39
1658856132,40
1658878866,40
1658879072,40
