CODE,CSC311H1-F-20229-LEC-0101,CSC311H1-F-20229-LEC-0201,CSC311H1-F-20229-LEC-2001
CAP,115,125,10
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,1,2,0
1657560897,1,2,0
1657592482,1,2,0
1657598158,1,2,0
1657657520,64,59,0
1657659549,64,59,0
1657678570,64,59,0
1657700365,64,59,0
1657734871,63,60,0
1657736010,63,60,0
1657737663,63,60,0
1657744779,63,60,0
1657780708,63,60,0
1657815709,64,60,11
1657827433,64,60,11
1657841414,64,60,11
1657851506,64,60,11
1657853745,64,60,11
1657868013,64,60,11
1657911016,145,163,11
1657914736,145,163,11
1657938194,145,163,11
1657991875,145,164,11
1658011950,145,164,11
1658085371,145,165,11
1658086263,145,165,11
1658101142,145,165,11
1658101460,145,165,11
1658117879,145,165,11
1658120793,145,165,11
1658149259,146,165,11
1658163599,146,165,11
1658192570,146,165,11
1658255570,152,170,11
1658255771,152,170,11
1658265950,152,170,11
1658282790,152,170,11
1658284116,152,170,11
1658341001,151,169,11
1658425295,151,169,11
1658438086,151,169,11
1658446145,151,169,11
1658446771,151,169,11
1658459993,151,169,11
1658514122,151,169,11
1658536177,151,169,11
1658552496,151,169,11
1658614184,150,169,11
1658631640,150,169,11
1658698072,149,168,11
1658768579,148,168,11
1658788810,148,168,11
1658856123,148,168,11
1658878855,148,168,11
1658879061,148,168,11
1658965224,149,169,12
1659041771,149,169,12
1659049567,149,169,12
1659055044,149,169,12
1659106101,149,169,12
1659116089,149,169,12
1659126296,149,169,12
1659137072,149,169,12
1659154611,149,169,12
1659160554,149,169,12
1659197509,159,175,12
1659228141,159,175,12
1659229848,159,175,12
1659252431,159,175,12
1659298084,162,176,12
