CODE,HIS496H1-F-20229-LEC-0101,HIS496H1-F-20229-LEC-0201
CAP,16,16
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,0
1657560897,1,0
1657592482,1,0
1657598158,1,0
1657657520,19,7
1657659549,19,7
1657678570,19,7
1657700365,19,7
1657734871,20,8
1657736010,20,8
1657737663,20,8
1657744779,20,8
1657780708,20,8
1657815709,20,8
1657827433,20,8
1657841414,20,8
1657851506,20,8
1657853745,20,8
1657868013,20,8
1657911016,20,8
1657914736,20,8
1657938194,20,8
1657991875,20,8
1658011950,20,8
1658085371,20,8
1658086263,20,8
1658101142,20,8
1658101460,20,8
1658117879,20,8
1658120793,20,8
1658149259,20,9
1658163599,20,9
1658192570,20,9
1658255570,20,10
1658255771,20,10
1658265950,20,10
1658282790,20,10
1658284116,20,10
1658341001,20,10
1658425295,20,12
1658438086,20,12
1658446145,20,12
1658446771,20,12
1658459993,20,12
1658514122,20,12
1658536177,20,12
1658552496,20,12
1658614184,20,12
1658631640,20,12
1658698072,20,12
1658768579,20,12
1658788810,20,12
1658856123,20,12
1658878855,20,12
1658879061,20,12
1658965224,20,12
1659041771,20,13
1659049567,20,13
1659055044,20,13
1659106101,20,13
1659116089,20,13
1659126296,20,13
1659137072,20,13
1659154611,20,13
1659160554,20,13
1659197509,21,14
1659228141,21,14
1659229848,21,14
1659252431,21,14
1659298084,21,14
