CODE,CSC108H1-F-20229-LEC-0101,CSC108H1-F-20229-LEC-0201,CSC108H1-F-20229-LEC-0301,CSC108H1-F-20229-LEC-0401,CSC108H1-F-20229-LEC-0402,CSC108H1-F-20229-LEC-0501,CSC108H1-F-20229-LEC-0601,CSC108H1-F-20229-LEC-0701,CSC108H1-F-20229-LEC-5101
CAP,196,196,196,234,234,196,196,196,200
1656647689,0,0,0,0,0,0,0,0,0
1656655656,0,0,0,0,0,0,0,0,0
1656693722,0,0,0,0,0,0,0,0,0
1656799543,0,0,0,0,0,0,0,0,0
1657039029,0,0,0,0,0,0,0,0,0
1657124783,0,0,0,0,0,0,0,0,0
1657129900,0,0,0,0,0,0,0,0,0
1657154826,0,0,0,0,0,0,0,0,0
1657154927,0,0,0,0,0,0,0,0,0
1657157137,0,0,0,0,0,0,0,0,0
1657169424,0,0,0,0,0,0,0,0,0
1657171604,0,0,0,0,0,0,0,0,0
1657208564,0,0,0,0,0,0,0,0,0
1657224150,0,0,0,0,0,0,0,0,0
1657394888,0,0,0,0,0,0,0,0,0
1657522639,0,0,2,1,1,1,1,0,0
1657560897,0,0,2,1,1,1,1,0,0
1657592482,0,0,2,1,1,1,1,0,0
1657598158,0,0,2,1,1,1,1,0,0
1657657520,16,1,6,6,1,5,5,4,16
1657659549,16,1,6,6,1,5,5,4,16
1657678570,16,1,6,6,1,5,5,4,16
1657700365,16,1,6,6,1,5,5,4,16
1657734871,14,1,6,6,1,5,5,4,16
1657736010,14,1,6,6,1,5,5,4,16
1657737663,14,1,6,6,1,5,5,4,16
1657744779,14,1,6,6,1,5,5,4,16
1657780708,14,1,6,6,1,5,5,4,16
1657815709,14,2,6,6,1,5,6,4,16
1657827433,14,2,6,6,1,5,6,4,16
1657841414,14,2,6,6,1,5,6,4,16
1657851506,14,2,6,6,1,5,6,4,16
1657853745,14,2,6,6,1,5,6,4,16
1657868013,14,2,6,6,1,5,6,4,16
1657911016,35,4,16,10,2,18,14,11,68
1657914736,35,4,16,10,2,18,14,11,68
1657938194,35,4,16,10,2,18,14,11,68
1657991875,37,4,16,10,2,18,14,11,69
1658011950,37,4,16,10,2,18,14,11,69
1658085371,37,4,16,10,2,18,14,11,72
1658086263,37,4,16,10,2,18,14,11,72
1658101142,37,4,16,10,2,18,14,11,72
1658101460,37,4,16,10,2,18,14,11,72
1658117879,37,4,16,10,2,18,14,11,72
1658120793,37,4,16,10,2,18,14,11,72
1658149259,37,4,15,9,2,18,14,11,74
1658163599,37,4,15,9,2,18,14,11,74
1658192570,37,4,15,9,2,18,14,11,74
1658255570,73,17,45,17,2,40,28,25,142
1658255771,73,17,45,17,2,40,28,25,142
1658265950,73,17,45,17,2,40,28,25,142
1658282790,73,17,45,17,2,40,28,25,142
1658284116,73,17,45,17,2,40,28,25,142
1658341001,73,17,46,18,2,40,27,24,145
1658425295,72,17,49,19,2,41,27,23,147
1658438086,72,17,49,19,2,41,27,23,147
1658446145,72,17,49,19,2,41,27,23,147
1658446771,72,17,49,19,2,41,27,23,147
1658459993,72,17,49,19,2,41,27,23,147
1658514122,272,217,228,235,201,203,180,201,250
1658536177,272,217,228,235,201,203,180,201,250
1658552496,272,217,228,235,201,203,180,201,250
1658614184,269,216,227,234,218,201,182,201,247
1658631640,269,216,227,234,218,201,182,201,247
1658698072,271,215,225,234,228,199,183,202,248
1658768579,272,215,224,235,232,200,186,203,248
1658788810,272,215,224,235,232,200,186,203,248
1658856123,273,214,223,234,236,199,193,204,248
1658878855,273,214,223,234,236,199,193,204,248
1658879061,273,214,223,234,236,199,193,204,248
1658965224,276,217,223,237,236,202,197,204,247
1659041771,278,218,225,240,238,202,197,205,248
1659049567,278,218,225,240,238,202,197,205,248
1659055044,278,218,225,240,238,202,197,205,248
