CODE,ACT460H1-F-20229-LEC-0101,ACT460H1-F-20229-LEC-2001
CAP,45,25
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,14
1657560897,1,14
1657592482,1,14
1657598158,1,14
1657657520,7,14
1657659549,7,14
1657678570,7,14
1657700365,7,14
1657734871,8,14
1657736010,8,14
1657737663,8,14
1657744779,8,14
1657780708,8,14
1657815709,8,15
1657827433,8,15
1657841414,8,15
1657851506,8,15
1657853745,8,15
1657868013,8,15
1657911016,8,15
1657914736,8,15
1657938194,8,15
1657991875,8,15
1658011950,8,15
1658085371,8,15
1658086263,8,15
1658101142,8,15
1658101460,8,15
1658117879,8,15
1658120793,8,15
1658149259,8,15
1658163599,8,15
1658192570,8,15
1658255570,8,15
1658255771,8,15
1658265950,8,15
1658282790,8,15
1658284116,8,15
1658341001,9,15
1658425295,9,15
1658438086,9,15
1658446145,9,15
1658446771,9,15
1658459993,9,15
1658514122,9,15
