CODE,PCL367H1-F-20229-LEC-0101,PCL367H1-F-20229-LEC-0201
CAP,30,30
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,2,9
1657659549,2,9
1657678570,2,9
1657700365,2,9
1657734871,1,10
1657736010,1,10
1657737663,1,10
1657744779,1,10
1657780708,1,10
1657815709,1,10
1657827433,1,10
1657841414,1,10
1657851506,1,10
1657853745,1,10
1657868013,1,10
1657911016,17,35
1657914736,17,35
1657938194,17,35
1657991875,17,35
1658011950,17,35
1658085371,17,35
1658086263,17,35
1658101142,17,35
1658101460,17,35
1658117879,17,35
1658120793,17,35
1658149259,17,35
1658163599,17,35
1658192570,17,35
1658255570,18,35
1658255771,18,35
1658265950,18,35
1658282790,18,35
1658284116,18,35
1658341001,18,35
1658425295,18,35
1658438086,18,35
1658446145,18,35
1658446771,18,35
1658459993,18,35
1658514122,18,36
