CODE,STA410H1-S-20229-LEC-0101,STA410H1-S-20229-LEC-2501,STA410H1-S-20229-LEC-5101
CAP,-1,9,150
1656647697,-2,0,0
1656655667,-2,0,0
1656693731,-2,0,0
1656799552,-2,0,0
1657039041,-2,0,0
1657124791,-2,0,0
1657129909,-2,0,0
1657154834,-2,0,0
1657154935,-2,0,0
1657157146,-2,0,0
1657169433,-2,0,0
1657171616,-2,0,0
1657208573,-2,0,0
1657224158,-2,0,0
1657394896,-2,0,0
1657522648,-2,2,18
1657560905,-2,2,18
1657592491,-2,2,18
1657598166,-2,2,18
1657657537,-2,2,56
1657659562,-2,2,56
1657678580,-2,2,56
1657700377,-2,2,56
1657734892,-2,2,59
1657736031,-2,2,59
1657737680,-2,2,59
1657744796,-2,2,59
1657780717,-2,2,59
1657815723,-2,10,61
1657827444,-2,10,61
1657841424,-2,10,61
1657851524,-2,10,61
1657853756,-2,10,61
1657868023,-2,10,61
1657911025,-2,10,80
1657914749,-2,10,80
1657938204,-2,10,80
1657991885,-2,10,78
1658011963,-2,10,78
1658085387,-2,10,79
1658086283,-2,10,79
1658101152,-2,10,79
1658101473,-2,10,79
1658117893,-2,10,79
1658120808,-2,10,79
1658149282,-2,10,81
1658163609,-2,10,81
1658192584,-2,10,81
1658255580,-2,10,82
1658255781,-2,10,82
1658265969,-2,10,82
1658282799,-2,10,82
1658284132,-2,10,82
1658341011,-2,10,83
1658425310,-2,11,84
1658438101,-2,11,84
1658446157,-2,11,84
1658446785,-2,11,84
1658460004,-2,11,84
1658514131,-2,11,85
