CODE,HST209H1-F-20229-LEC-0101,HST209H1-F-20229-LEC-2001
CAP,87,3
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,2,0
1657659549,2,0
1657678570,2,0
1657700365,2,0
1657734871,2,0
1657736010,2,0
1657737663,2,0
1657744779,2,0
1657780708,2,0
1657815709,2,1
1657827433,2,1
1657841414,2,1
1657851506,2,1
1657853745,2,1
1657868013,2,1
1657911016,3,1
1657914736,3,1
1657938194,3,1
1657991875,3,1
1658011950,3,1
1658085371,3,1
1658086263,3,1
1658101142,3,1
1658101460,3,1
1658117879,3,1
1658120793,3,1
1658149259,3,1
1658163599,3,1
1658192570,3,1
1658255570,15,1
1658255771,15,1
1658265950,15,1
1658282790,15,1
1658284116,15,1
1658341001,15,1
1658425295,15,1
1658438086,15,1
1658446145,15,1
1658446771,15,1
1658459993,15,1
1658514122,15,1
