CODE,ENV350H1-F-20229-LEC-2501,ENV350H1-F-20229-LEC-5101
CAP,50,80
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,0,29
1657659549,0,29
1657678570,0,29
1657700365,0,29
1657734871,0,30
1657736010,0,30
1657737663,0,30
1657744779,0,30
1657780708,0,30
1657815709,37,30
1657827433,37,30
1657841414,37,30
1657851506,37,30
1657853745,37,30
1657868013,37,30
1657911016,37,57
1657914736,37,57
1657938194,37,57
1657991875,37,58
1658011950,37,58
1658085371,37,59
1658086263,37,59
1658101142,37,59
1658101460,37,59
1658117879,37,59
1658120793,37,59
1658149259,38,59
1658163599,38,59
1658192570,38,59
1658255570,38,61
1658255771,38,61
1658265950,38,61
1658282790,38,61
1658284116,38,61
1658341001,38,61
1658425295,38,61
1658438086,38,61
1658446145,38,61
1658446771,38,61
1658459993,38,61
1658514122,38,60
