CODE,ACT370H1-S-20229-LEC-0101,ACT370H1-S-20229-LEC-2001
CAP,115,30
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,4,22
1657560905,4,22
1657592491,4,22
1657598166,4,22
1657657537,26,22
1657659562,26,22
1657678580,26,22
1657700377,26,22
1657734892,27,22
1657736031,27,22
1657737680,27,22
1657744796,27,22
1657780717,27,22
1657815723,27,23
1657827444,27,23
1657841424,27,23
1657851524,27,23
1657853756,27,23
1657868023,27,23
1657911025,69,23
1657914749,69,23
1657938204,69,23
1657991885,69,23
1658011963,69,23
1658085387,69,23
1658086283,69,23
1658101152,69,23
1658101473,69,23
1658117893,69,23
1658120808,69,23
1658149282,68,23
1658163609,68,23
1658192584,68,23
1658255580,67,23
1658255781,67,23
1658265969,67,23
1658282799,67,23
1658284132,67,23
1658341011,67,23
1658425310,67,23
1658438101,67,23
1658446157,67,23
1658446785,67,23
1658460004,67,23
1658514131,67,23
