CODE,ECO364H1-F-20229-LEC-0101,ECO364H1-F-20229-LEC-5101
CAP,175,175
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,2,0
1657560897,2,0
1657592482,2,0
1657598158,2,0
1657657520,57,44
1657659549,57,44
1657678570,57,44
1657700365,57,44
1657734871,59,45
1657736010,59,45
1657737663,59,45
1657744779,59,45
1657780708,59,45
1657815709,59,45
1657827433,59,45
1657841414,59,45
1657851506,59,45
1657853745,59,45
1657868013,59,45
1657911016,163,147
1657914736,163,147
1657938194,163,147
1657991875,164,148
1658011950,164,148
1658085371,164,152
1658086263,164,152
1658101142,164,152
1658101460,164,152
1658117879,164,152
1658120793,164,152
1658149259,166,154
1658163599,166,154
1658192570,166,154
1658255570,177,157
1658255771,177,157
1658265950,177,157
1658282790,177,157
1658284116,177,157
1658341001,176,158
1658425295,177,162
1658438086,177,162
1658446145,177,162
1658446771,177,162
1658459993,177,162
1658514122,178,161
1658536177,178,161
1658552496,178,161
1658614184,177,162
1658631640,177,162
1658698072,177,162
1658768579,176,164
1658788810,176,164
1658856123,176,165
1658878855,176,165
1658879061,176,165
1658965224,175,166
1659041771,175,168
1659049567,175,168
1659055044,175,168
1659106101,175,168
1659116089,175,168
1659126296,175,168
1659137072,175,168
1659154611,175,168
1659160554,175,168
1659197509,178,181
1659228141,178,181
1659229848,178,181
1659252431,178,181
1659298084,178,179
