CODE,STA313H1-F-20229-LEC-0101,STA313H1-F-20229-LEC-0201
CAP,120,120
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,94,99
1657560897,94,97
1657592482,94,97
1657598158,94,97
1657657520,216,217
1657659549,216,217
1657678570,216,217
1657700365,216,217
1657734871,217,214
1657736010,217,214
1657737663,217,214
1657744779,217,214
1657780708,217,214
1657815709,219,216
1657827433,219,216
1657841414,219,216
1657851506,219,216
1657853745,219,216
1657868013,219,216
1657911016,317,300
1657914736,317,300
1657938194,317,300
1657991875,317,298
1658011950,317,298
1658085371,319,299
1658086263,319,299
1658101142,319,299
1658101460,319,299
1658117879,319,299
1658120793,319,299
1658149259,319,300
1658163599,319,300
1658192570,319,300
1658255570,323,312
1658255771,323,312
1658265950,323,312
1658282790,323,312
1658284116,323,312
1658341001,325,311
1658425295,328,312
1658438086,328,312
1658446145,328,312
1658446771,328,312
1658459993,328,312
1658514122,329,313
1658536177,329,313
1658552496,329,313
1658614184,331,314
1658631640,331,314
1658698072,333,317
1658768579,332,315
1658788810,332,315
1658856123,331,316
1658878855,331,316
1658879061,331,316
1658965224,333,317
1659041771,334,317
1659049567,334,317
1659055044,334,317
1659106101,330,315
1659116089,330,315
1659126296,330,315
1659137072,330,315
1659154611,330,315
1659160554,330,315
1659197509,312,307
1659228141,312,307
1659229848,312,307
1659252431,312,307
1659298084,311,307
