CODE,RSM326H1-F-20229-LEC-0101,RSM326H1-F-20229-LEC-0201,RSM326H1-F-20229-LEC-0301
CAP,50,50,50
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,0,1,0
1657560897,0,1,0
1657592482,0,1,0
1657598158,0,1,0
1657657520,13,18,8
1657659549,13,18,8
1657678570,13,18,8
1657700365,13,18,8
1657734871,13,17,8
1657736010,13,17,8
1657737663,13,17,8
1657744779,13,17,8
1657780708,13,17,8
1657815709,13,18,9
1657827433,13,18,9
1657841414,13,18,9
1657851506,13,18,9
1657853745,13,18,9
1657868013,13,18,9
1657911016,55,57,43
1657914736,55,57,43
1657938194,55,57,43
1657991875,55,57,44
1658011950,55,57,44
1658085371,56,56,45
1658086263,56,56,45
1658101142,56,56,45
1658101460,56,56,45
1658117879,56,56,45
1658120793,56,56,45
1658149259,55,56,45
1658163599,55,56,45
1658192570,55,56,45
1658255570,56,56,50
1658255771,56,56,50
1658265950,56,56,50
1658282790,56,56,50
1658284116,56,56,50
1658341001,57,56,50
1658425295,57,56,50
1658438086,57,56,50
1658446145,57,56,50
1658446771,57,56,50
1658459993,57,56,50
1658514122,57,56,50
1658536177,57,56,50
1658552496,57,56,50
1658614184,57,56,50
1658631640,57,56,50
1658698072,57,56,50
1658768579,57,56,50
1658788810,57,56,50
1658856123,56,56,50
1658878855,56,56,50
1658879061,56,56,50
1658965224,56,56,48
1659041771,56,55,50
1659049567,56,55,50
1659055044,56,55,50
1659106101,56,55,50
1659116089,56,55,50
1659126296,56,55,50
1659137072,56,55,50
1659154611,56,55,50
1659160554,56,55,50
1659197509,56,57,51
1659228141,56,57,51
1659229848,56,57,51
1659252431,56,57,51
1659298084,56,57,51
