CODE,PHL412H1-F-20229-LEC-0101,PHL412H1-F-20229-LEC-5101
CAP,20,20
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,20,4
1657659549,20,4
1657678570,20,4
1657700365,20,4
1657734871,20,4
1657736010,20,4
1657737663,20,4
1657744779,20,4
1657780708,20,4
1657815709,22,4
1657827433,22,4
1657841414,22,4
1657851506,22,4
1657853745,22,4
1657868013,22,4
1657911016,23,7
1657914736,23,7
1657938194,23,7
1657991875,24,7
1658011950,24,7
1658085371,24,7
1658086263,24,7
1658101142,24,7
1658101460,24,7
1658117879,24,7
1658120793,24,7
1658149259,25,7
1658163599,25,7
1658192570,25,7
1658255570,25,7
1658255771,25,7
1658265950,25,7
1658282790,25,7
1658284116,25,7
1658341001,25,7
1658425295,25,7
1658438086,25,7
1658446145,25,7
1658446771,25,7
1658459993,25,7
1658514122,25,7
1658536177,25,7
1658552496,25,7
1658614184,24,8
1658631640,24,8
1658698072,24,8
1658768579,24,8
1658788810,24,8
1658856123,24,8
1658878855,24,8
1658879061,24,8
1658965224,24,9
1659041771,25,9
1659049567,25,9
1659055044,25,9
1659106101,25,9
1659116089,25,9
1659126296,25,9
1659137072,25,9
1659154611,25,9
1659160554,25,9
1659197509,25,10
1659228141,25,10
1659229848,25,10
1659252431,25,10
1659298084,25,10
