CODE,PCL200H1-F-20229-LEC-0101
CAP,300
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,107
1657659549,107
1657678570,107
1657700365,107
1657734871,111
1657736010,111
1657737663,111
1657744779,111
1657780708,111
1657815709,111
1657827433,111
1657841414,111
1657851506,111
1657853745,111
1657868013,111
1657911016,209
1657914736,209
1657938194,209
1657991875,210
1658011950,210
1658085371,213
1658086263,213
1658101142,213
1658101460,213
1658117879,213
1658120793,213
1658149259,216
1658163599,216
1658192570,216
1658255570,343
1658255771,343
1658265950,343
1658282790,343
1658284116,343
1658341001,344
1658425295,344
1658438086,344
1658446145,344
1658446771,344
1658459993,344
1658514122,368
1658536177,368
1658552496,368
1658614184,368
1658631640,368
1658698072,369
1658768579,369
1658788810,369
1658856123,369
1658878855,369
1658879061,369
1658965224,371
1659041771,367
1659049567,367
1659055044,367
1659106101,364
1659116089,364
1659126296,364
1659137072,364
1659154611,364
1659160554,364
1659197509,356
1659228141,356
1659229848,356
1659252431,356
1659298084,357
