CODE,MAT246H1-F-20229-LEC-0101,MAT246H1-F-20229-LEC-5101
CAP,150,180
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,0
1657560897,1,0
1657592482,1,0
1657598158,1,0
1657657520,13,9
1657659549,13,9
1657678570,13,9
1657700365,13,9
1657734871,13,11
1657736010,13,11
1657737663,13,11
1657744779,13,11
1657780708,13,11
1657815709,14,11
1657827433,14,11
1657841414,14,11
1657851506,14,11
1657853745,14,11
1657868013,14,11
1657911016,73,44
1657914736,73,44
1657938194,73,44
1657991875,74,44
1658011950,74,44
1658085371,74,44
1658086263,74,44
1658101142,74,44
1658101460,74,44
1658117879,74,44
1658120793,74,44
1658149259,79,44
1658163599,79,44
1658192570,79,44
1658255570,166,133
1658255771,166,133
1658265950,166,133
1658282790,166,133
1658284116,166,133
1658341001,166,134
1658425295,166,137
1658438086,166,137
1658446145,166,137
1658446771,166,137
1658459993,166,137
1658514122,167,152
1658536177,167,152
1658552496,167,152
1658614184,166,156
1658631640,166,156
1658698072,166,157
1658768579,166,159
1658788810,166,159
1658856123,163,161
1658878855,163,161
1658879061,163,161
1658965224,163,159
1659041771,162,162
1659049567,162,162
1659055044,162,162
1659106101,161,162
1659116089,161,162
1659126296,161,162
1659137072,161,162
1659154611,161,162
1659160554,161,162
1659197509,157,161
1659228141,157,161
1659229848,157,161
1659252431,157,161
1659298084,156,159
