CODE,CSE270H1-S-20229-LEC-0101,CSE270H1-S-20229-LEC-2000
CAP,130,20
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,9,0
1657659562,9,0
1657678580,9,0
1657700377,9,0
1657734892,8,0
1657736031,8,0
1657737680,8,0
1657744796,8,0
1657780717,8,0
1657815723,8,0
1657827444,8,0
1657841424,8,0
1657851524,8,0
1657853756,8,0
1657868023,8,0
1657911025,16,0
1657914749,16,0
1657938204,16,0
1657991885,16,0
1658011963,16,0
1658085387,16,0
1658086283,16,0
1658101152,16,0
1658101473,16,0
1658117893,16,0
1658120808,16,0
1658149282,16,0
1658163609,16,0
1658192584,16,0
1658255580,50,0
1658255781,50,0
1658265969,50,0
1658282799,50,0
1658284132,50,0
1658341011,52,0
1658425310,52,0
1658438101,52,0
1658446157,52,0
1658446785,52,0
1658460004,52,0
1658514131,58,0
