CODE,RSM321H1-F-20229-LEC-0101,RSM321H1-F-20229-LEC-0201
CAP,50,50
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,53,39
1657659549,53,39
1657678570,53,39
1657700365,53,39
1657734871,53,39
1657736010,53,39
1657737663,53,39
1657744779,53,39
1657780708,53,39
1657815709,52,40
1657827433,52,40
1657841414,52,40
1657851506,52,40
1657853745,52,40
1657868013,52,40
1657911016,53,42
1657914736,53,42
1657938194,53,42
1657991875,53,42
1658011950,53,42
1658085371,53,43
1658086263,53,43
1658101142,53,43
1658101460,53,43
1658117879,53,43
1658120793,53,43
1658149259,53,43
1658163599,53,43
1658192570,53,43
1658255570,53,44
1658255771,53,44
1658265950,53,44
1658282790,53,44
1658284116,53,44
1658341001,53,44
1658425295,53,44
1658438086,53,44
1658446145,53,44
1658446771,53,44
1658459993,53,44
1658514122,53,44
1658536177,53,44
1658552496,53,44
1658614184,53,44
1658631640,53,44
1658698072,53,44
1658768579,53,44
1658788810,53,44
1658856123,53,44
1658878855,53,44
1658879061,53,44
1658965224,53,44
1659041771,53,44
1659049567,53,44
1659055044,53,44
1659106101,53,44
1659116089,53,44
1659126296,53,44
1659137072,53,44
1659154611,53,44
1659160554,53,44
1659197509,54,44
1659228141,54,44
1659229848,54,44
1659252431,54,44
1659298084,54,44
